Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR10398412_trimmed_1	86.47505311195792	59.0	50.996396659330735	20.0	60837989.0
SRR10398412_trimmed_2	89.64965239426552	58.0	50.996396659330735	10.0	60837989.0
SRR10398413_trimmed_1	80.73888952622897	60.0	50.9964865871097	10.0	29306547.0
SRR10398413_trimmed_2	84.92133110161103	60.0	50.9964865871097	10.0	29306547.0
SRR10398414_trimmed_1	83.62588811431236	58.0	50.99388901690506	10.0	24936086.0
SRR10398414_trimmed_2	86.43950759008617	57.0	50.99388901690506	10.0	24936086.0
SRR10398415_trimmed_1	85.08938002133965	59.0	50.996969140036356	30.0	31666920.0
SRR10398415_trimmed_2	87.84969939939944	59.0	50.996969140036356	20.0	31666920.0
SRR10398416_trimmed_1	83.6203015967194	59.0	50.99626078663725	20.0	28314779.0
SRR10398416_trimmed_2	86.5767580748458	59.0	50.99626078663725	20.0	28314779.0
SRR10398417_trimmed_1	83.0927749845625	59.0	50.99636163590898	20.0	31781866.0
SRR10398417_trimmed_2	86.36842105929358	59.0	50.99636163590898	20.0	31781866.0
SRR12820309_trimmed_1	77.09938870263493	50.0	39.99964884855332	20.0	5786677.0
SRR12820309_trimmed_2	78.96228443223589	48.0	39.99964884855332	10.0	5786677.0
SRR12820310_trimmed_1	86.27537034529547	50.0	39.999686449444276	20.0	12316993.0
SRR12820310_trimmed_2	87.08948612594956	49.0	39.999686449444276	10.0	12316993.0
SRR12820333_trimmed_1	78.99499068999071	51.0	39.999687773177314	20.0	8862147.0
SRR12820333_trimmed_2	81.98114013125536	50.0	39.999687773177314	10.0	8862147.0
SRR12820334_trimmed_1	78.7108357454886	51.0	39.99966082990562	20.0	7774860.0
SRR12820334_trimmed_2	81.4064285080395	49.0	39.99966082990562	10.0	7774860.0
