CRTL1	CTRL2	CTRL3	T1	T2	T3	COUNT	TYPE	GENE	VERSION	DESCRIPTION
18417	10674	7217	8129	7420	8515	PaeAG1_00001	CDS	dnaA		chromosome replication initiator DnaA
20916	10478	7694	7580	6544	8417	PaeAG1_00002	CDS	dnaN	2.7.7.7	DNA polymerase III subunit beta
11431	6558	6209	5188	4569	4714	PaeAG1_00003	CDS	recF_1		DNA replication and repair protein RecF
54585	28783	15919	12948	12956	14416	PaeAG1_00004	CDS	gyrB		DNA gyrase subunit B
4309	2348	2675	1081	1177	1662	PaeAG1_00005	CDS	lptA_1		lysophosphatidic acid acyltransferase
2578	1360	1628	712	746	1085	PaeAG1_00006	CDS			D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
8351	4237	2623	3177	2852	4488	PaeAG1_00007	CDS			hypothetical protein
11160	5600	2485	1881	1666	2800	PaeAG1_00008	CDS	glyS	6.1.1.14	glycine--tRNA ligase subunit beta
5898	2747	1340	707	642	1271	PaeAG1_00009	CDS	glyQ	6.1.1.14	glycine--tRNA ligase subunit alpha
578	336	230	166	166	223	PaeAG1_00010	CDS	tag		DNA-3-methyladenine glycosidase I
6599	3313	4888	1861	2043	2982	PaeAG1_00011	CDS			lipid A biosynthesis lauroyl acyltransferase
1234	531	1025	619	646	643	PaeAG1_00012	CDS			hypothetical protein
736	448	351	391	331	523	PaeAG1_00013	CDS	yhhQ		Queuosine precursor transporter
425	188	288	498	365	393	PaeAG1_00014	CDS			hypothetical protein
1277	650	404	875	726	904	PaeAG1_00015	CDS			hypothetical protein
3782	2214	1300	1505	1385	1689	PaeAG1_00016	CDS	trkA		potassium transporter inner membrane associated protein
3053	1794	795	761	959	767	PaeAG1_00017	CDS			Ribosomal RNA small subunit methyltransferase B
2626	1330	601	649	600	647	PaeAG1_00018	CDS	fmt	2.1.2.9	methionyl-tRNA formyltransferase
11697	5535	6430	5546	4566	6061	PaeAG1_00019	CDS	def_1	3.5.1.88	peptide deformylase
10267	5592	5102	2212	2337	4916	PaeAG1_00020	CDS			hypothetical protein
274	177	131	173	150	161	PaeAG1_00021	CDS			hypothetical protein
1648	886	936	855	768	1278	PaeAG1_00022	CDS			threonylcarbamoyl-AMP synthase
1250	953	479	1071	885	1097	PaeAG1_00023	CDS	qor		oxygen-dependent quinone oxidoreductase
1754	1020	702	425	453	732	PaeAG1_00024	CDS	hemF	1.3.3.3	coproporphyrinogen III oxidase
969	654	372	343	371	651	PaeAG1_00025	CDS	aroE	1.1.1.25	shikimate dehydrogenase
2086	1056	822	688	679	864	PaeAG1_00026	CDS	plcB		phospholipase C
754	542	288	588	518	409	PaeAG1_00027	CDS	prsA	5.2.1.8	Foldase protein PrsA
317	198	134	177	194	194	PaeAG1_00028	CDS			hypothetical protein
286	154	74	257	218	239	PaeAG1_00029	CDS			sulfate transporter
192	113	47	141	125	129	PaeAG1_00030	CDS			glycine betaine-binding protein
528	334	198	355	354	364	PaeAG1_00031	CDS	betC		choline sulfatase
544	366	321	449	394	420	PaeAG1_00032	CDS			transcriptional regulator
496	381	237	455	538	382	PaeAG1_00033	CDS			DOPA 4,5-dioxygenase
280	225	111	181	158	165	PaeAG1_00034	CDS			hypothetical protein
514	347	242	172	160	218	PaeAG1_00035	CDS			two-component response regulator
1834	1011	376	512	484	548	PaeAG1_00036	CDS	trpA	4.2.1.20	tryptophan synthase subunit alpha
2882	1551	922	705	796	1054	PaeAG1_00037	CDS	trpB	4.2.1.20	tryptophan synthase subunit beta
629	337	215	354	348	411	PaeAG1_00038	CDS	trpI		HTH-type transcriptional regulator TrpI
8498	3979	4774	17196	12824	14785	PaeAG1_00039	CDS			Dodecin
50867	24055	24736	63466	50034	66096	PaeAG1_00040	CDS			hypothetical protein
4065.75	2640.42	1508.18	1159.81	1124.75	1676.83	PaeAG1_00041	CDS			hypothetical protein
6176.27	3129.68	1648.21	2825.57	2365.97	3771.17	PaeAG1_00042	CDS			hemagglutinin
746.679	365.862	425.452	149.913	177.751	358.028	PaeAG1_00043	CDS			transposase
5386.67	2727.69	1995.2	2750.15	2750.63	3281.54	PaeAG1_00044	CDS			hemagglutinin
3346	1471	1113	911.5	668.5	1451	PaeAG1_00045	CDS			hypothetical protein
3346	1471	1113	911.5	668.5	1451	PaeAG1_00046	CDS			hypothetical protein
1481	502	407	222	154	324	PaeAG1_00047	CDS			hypothetical protein
264.262	234.288	249.398	191.556	116.579	311.182	PaeAG1_00048	CDS			transposase
419.085	140.029	281.518	135.133	178.378	204.646	PaeAG1_00049	CDS			transposase
15427.5	8006.79	7113.56	3105	2651.95	5167.03	PaeAG1_00050	CDS			hypothetical protein
3360.97	1676.79	1479.89	1704.01	1387.12	1906.13	PaeAG1_00051	CDS			hemagglutinin
562.974	297.821	340.633	198.398	178.292	264.144	PaeAG1_00052	CDS			transposase
841	426	496	555	502	732	PaeAG1_00053	CDS			hypothetical protein
1159	616	389	380	409	488	PaeAG1_00054	CDS			hypothetical protein
148	95	68	80	72	99	PaeAG1_00055	CDS			hypothetical protein
2280	1287	596	998	1066	750	PaeAG1_00056	CDS	exoT		exoenzyme T
2573	1424	576	221	192	510	PaeAG1_00057	CDS			Putative lipoprotein/NMB1164
983	520	214	118	96	232	PaeAG1_00058	CDS			hypothetical protein
1378	763	239	502	389	542	PaeAG1_00059	CDS			Putative lipoprotein/NMB1162
520	266	118	517	323	491	PaeAG1_00060	CDS			transcriptional regulator
789	366	176	1552	1115	2096	PaeAG1_00061	CDS			hypothetical protein
2900	1450	1617	1761	1521	2722	PaeAG1_00062	CDS			hypothetical protein
1625	881	1368	1319	1094	2037	PaeAG1_00063	CDS			hypothetical protein
684	410	336	521	413	424	PaeAG1_00064	CDS	phzH		phenazine-modifying protein
225	142	86	239	215	180	PaeAG1_00065	CDS			hypothetical protein
407	234	155	102	118	155	PaeAG1_00066	CDS			RNA 2'-phosphotransferase-like protein
1151	626	695	486	457	821	PaeAG1_00067	CDS			hypothetical protein
168	81	41	70	73	85	PaeAG1_00068	CDS			transcriptional regulator
304	171	77	102	71	109	PaeAG1_00069	CDS			hypothetical protein
228	122	56	101	86	113	PaeAG1_00070	CDS			hypothetical protein
3009	1153	1086	8951	5885	6685	PaeAG1_00071	CDS	osmC		osmotically inducible protein OsmC
716	361	393	872	682	944	PaeAG1_00072	CDS			hypothetical protein
833	522	308	910	821	806	PaeAG1_00073	CDS			hypothetical protein
377	214	130	400	276	508	PaeAG1_00074	CDS			hypothetical protein
1691	1056	681	725	810	762	PaeAG1_00075	CDS			hypothetical protein
1061	626	346	505	449	638	PaeAG1_00076	CDS			hypothetical protein
766	462	265	261	210	379	PaeAG1_00077	CDS			5'-nucleotidase
985	554	279	424	432	567	PaeAG1_00078	CDS	yrdA_1		Protein YrdA
25696	13718	8987	7277	7075	9779	PaeAG1_00079	CDS	prlC		oligopeptidase A
6135	3122	4013	2405	2120	3146	PaeAG1_00080	CDS			hypothetical protein
1116	613	299	448	387	544	PaeAG1_00081	CDS			hypothetical protein
14908	7874	4229	6266	4147	9864	PaeAG1_00082	CDS			hypothetical protein
6031	3111	2894	2652	2768	3317	PaeAG1_00083	CDS			hypothetical protein
1158	697	376	428	377	640	PaeAG1_00084	CDS			hypothetical protein
1128	618	291	375	372	623	PaeAG1_00085	CDS			ABC transporter ATP-binding protein
2967	1569	1064	1067	908	1595	PaeAG1_00086	CDS	ppkA		serine/threonine protein kinase PpkA
1020	514	291	386	378	607	PaeAG1_00087	CDS	pppA		serine/threonine phosphatase
1349	721	314	487	410	784	PaeAG1_00088	CDS			hypothetical protein
5085	2766	1587	2211	1894	3479	PaeAG1_00089	CDS	icmF1_1		type VI secretion protein IcmF
1854	1085	583	842	635	1461	PaeAG1_00090	CDS			hypothetical protein
2573	1446	551	675	574	1264	PaeAG1_00091	CDS			hypothetical protein
956	500	250	198	194	447	PaeAG1_00092	CDS			hypothetical protein
6939	3807	2407	3220	2659	4807	PaeAG1_00093	CDS	fha1		Fha domain-containing protein
3515	2106	1409	1235	1057	2298	PaeAG1_00094	CDS			hypothetical protein
3596	1783	726	662	457	1920	PaeAG1_00095	CDS			hypothetical protein
9074	4729	2162	2164	1517	5210	PaeAG1_00096	CDS			uricase
5843	3721	2164	4512	3109	7263	PaeAG1_00097	CDS	hcp1_1		protein secretion apparatus assembly protein
1606	952	472	705	570	1559	PaeAG1_00098	CDS			hypothetical protein
588	341	179	200	147	531	PaeAG1_00099	CDS			hypothetical protein
1343	802	422	722	531	1438	PaeAG1_00100	CDS			hypothetical protein
751	376	272	414	315	780	PaeAG1_00101	CDS			hypothetical protein
4908	2551	1262	2138	1681	4196	PaeAG1_00102	CDS	clpV1		secretion protein ClpV1
2714.29	1454.49	788.776	1143.29	919.183	2147.99	PaeAG1_00103	CDS	vgrG1_1		type VI secretion system protein VgrG
595	320	316	323	245	687	PaeAG1_00104	CDS			hypothetical protein
1106	680	572	442	369	961	PaeAG1_00105	CDS			hypothetical protein
867	519	560	306	337	572	PaeAG1_00106	CDS			hypothetical protein
6837.49	4325.05	3250.31	4738.24	4998.24	5601.41	PaeAG1_00107	CDS			hypothetical protein
367	219	117	160	122	252	PaeAG1_00108	CDS			hypothetical protein
590	344	152	281	213	427	PaeAG1_00109	CDS			hypothetical protein
539	240	203	488	374	525	PaeAG1_00110	CDS		2.3.1.41	3-oxoacyl-ACP synthase
1085	545	632	863	729	1004	PaeAG1_00111	CDS			hypothetical protein
1865	929	678	1280	1073	1447	PaeAG1_00112	CDS			hypothetical protein
1417	839	460	1157	967	1079	PaeAG1_00113	CDS			hypothetical protein
3945	2013	1611	2116	1714	2652	PaeAG1_00114	CDS			carbonic anhydrase
347	218	90	203	230	262	PaeAG1_00115	CDS			sulfate transporter
872	533	291	348	388	447	PaeAG1_00116	CDS			hypothetical protein
1579	827	707	5896	6407	5027	PaeAG1_00117	CDS	coxB		cytochrome C oxidase subunit II
684	382	291	2417	2463	2083	PaeAG1_00118	CDS	coxA		cytochrome C oxidase subunit I
136	73	73	432	493	384	PaeAG1_00119	CDS			cytochrome C oxidase assembly protein
1359	636	670	3141	3307	2800	PaeAG1_00120	CDS	coIII		cytochrome C oxidase subunit III
1095	519	501	1348	1402	1447	PaeAG1_00121	CDS			hypothetical protein
163	112	62	522	596	453	PaeAG1_00122	CDS			hypothetical protein
132	66	42	546	680	426	PaeAG1_00123	CDS			hypothetical protein
186	126	69	436	420	363	PaeAG1_00124	CDS	ctaA	1.3.-.-	Heme A synthase
537	289	279	730	643	649	PaeAG1_00125	CDS		2.5.1.-	protoheme IX farnesyltransferase
5197	2554	2730	642	659	913	PaeAG1_00126	CDS	senC		cytochrome c oxidase assembly protein SenC
894	505	420	189	164	360	PaeAG1_00127	CDS			hypothetical protein
986	495	357	476	454	688	PaeAG1_00128	CDS			putative HTH-type transcriptional regulator
272	161	95	226	174	283	PaeAG1_00129	CDS			short-chain dehydrogenase
192	100	74	256	211	326	PaeAG1_00130	CDS	nsaD	5.99.1.4	2-hydroxychromene-2-carboxylate isomerase
1278	691	577	919	781	1066	PaeAG1_00131	CDS			C4-dicarboxylate transporter DctA
627	378	184	703	622	645	PaeAG1_00132	CDS			transcriptional regulator
611	309	147	501	381	511	PaeAG1_00133	CDS			transcriptional regulator
2783	1707	1162	4054	4945	3870	PaeAG1_00134	CDS			hypothetical protein
665	426	208	804	695	899	PaeAG1_00135	CDS			transcriptional regulator
327	151	127	354	233	471	PaeAG1_00136	CDS			hypothetical protein
277	140	118	248	185	344	PaeAG1_00137	CDS			hypothetical protein
718	424	223	207	163	499	PaeAG1_00138	CDS			hypothetical protein
592	318	264	318	370	351	PaeAG1_00139	CDS			hypothetical protein
2421	1017	1770	776	1008	1254	PaeAG1_00140	CDS			hypothetical protein
5931	2806	1531	1136	890	1315	PaeAG1_00141	CDS	gabP		gamma-aminobutyrate permease
46091	24435	10210	3591	2839	4288	PaeAG1_00142	CDS			3-oxopropanoate dehydrogenase
4932	2768	1137	502	399	533	PaeAG1_00143	CDS			beta-alanine degradation protein BauB
45365	25280	14094	3979	3446	3961	PaeAG1_00144	CDS		2.6.1.18	beta alanine--pyruvate transaminase
1624	904	671	1053	984	1054	PaeAG1_00145	CDS			HTH-type transcriptional activator BauR
2331	1233	616	1482	1259	1487	PaeAG1_00146	CDS			guanine deaminase
180	100	70	207	138	158	PaeAG1_00147	CDS			hypothetical protein
330	148	103	200	204	238	PaeAG1_00148	CDS			ABC transporter ATP-binding protein
210	109	70	112	94	121	PaeAG1_00149	CDS			ABC transporter permease
461	222	132	272	216	271	PaeAG1_00150	CDS			ABC transporter permease
35984	17819	16019	24249	18921	20193	PaeAG1_00151	CDS	ahpC		alkyl hydroperoxide reductase
8580	4516	2071	2124	1662	2638	PaeAG1_00152	CDS	ahpF		alkyl hydroperoxide reductase
29296	15414	6684	4323	4254	3955	PaeAG1_00153	CDS	ppk2	2.7.4.1	Polyphosphate:ADP/GDP phosphotransferase
1358	818	523	486	408	601	PaeAG1_00154	CDS		3.5.4.43	8-oxoguanine deaminase
