id	type	name	version	description
b0001	CDS	thrL		thr operon leader peptide
b0002	CDS	thrA	1.1.1.3	fused aspartate kinase/homoserine dehydrogenase 1
b0003	CDS	thrB	2.7.1.39	homoserine kinase
b0004	CDS	thrC	4.2.3.1	threonine synthase
b0005	CDS	yaaX		DUF2502 domain-containing protein YaaX
b0006	CDS	yaaA		peroxide stress resistance protein YaaA
b0007	CDS	yaaJ		putative transporter YaaJ
b0008	CDS	talB	2.2.1.2	transaldolase B
b0009	CDS	mog	2.7.7.75	molybdopterin adenylyltransferase
b0010	CDS	satP		acetate/succinate:H(+) symporter
b0011	CDS	yaaW		putative enzyme-specific chaperone YaaW
b0012	CDS	mbiA		uncharacterized protein MbiA
b0013	CDS	yaaI		DUF2541 domain-containing protein YaaI
b0014	CDS	dnaK		chaperone protein DnaK
b0015	CDS	dnaJ		chaperone protein DnaJ
b0016	CDS	insL1		IS186/IS421 transposase
b0018	CDS	mokC		regulatory protein MokC
b4412	CDS	hokC		protein HokC
b0019	CDS	nhaA		Na(+):H(+) antiporter NhaA
b0020	CDS	nhaR		DNA-binding transcriptional activator NhaR
b0021	CDS	insB1		IS1 protein InsB
b0022	CDS	insA1		IS1 protein InsA
b0023	CDS	rpsT		30S ribosomal subunit protein S20
b0024	CDS	yaaY		DUF2575 domain-containing protein YaaY
b0025	CDS	ribF	2.7.1.26	bifunctional riboflavin kinase/FMN adenylyltransferase
b0026	CDS	ileS	6.1.1.5	isoleucine--tRNA ligase
b0027	CDS	lspA	3.4.23.36	lipoprotein signal peptidase
b0028	CDS	fkpB	5.2.1.8	peptidyl-prolyl cis-trans isomerase FkpB
b0029	CDS	ispH	1.17.7.4	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase
b0030	CDS	rihC	3.2.2.1	ribonucleoside hydrolase RihC
b0031	CDS	dapB	1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase
b0032	CDS	carA	6.3.5.5	carbamoyl phosphate synthetase subunit alpha
b0033	CDS	carB	6.3.5.5	carbamoyl phosphate synthetase subunit beta
b0034	CDS	caiF		DNA-binding transcriptional activator CaiF
b0035	CDS	caiE		putative transferase CaiE
b0036	CDS	caiD	4.2.1.149	crotonobetainyl-CoA hydratase
b0037	CDS	caiC	6.2.1.48	carnitine--CoA ligase
b0038	CDS	caiB	2.8.3.21	gamma-butyrobetainyl-CoA:carnitine CoA transferase
b0039	CDS	caiA	1.3.8.13	crotonobetainyl-CoA reductase
b0040	CDS	caiT		L-carnitine:gamma-butyrobetaine antiporter
b0041	CDS	fixA		putative electron transfer flavoprotein FixA
b0042	CDS	fixB		putative electron transfer flavoprotein FixB
b0043	CDS	fixC		putative oxidoreductase FixC
b0044	CDS	fixX		putative ferredoxin FixX
b0045	CDS	yaaU		putative transporter YaaU
b0046	CDS	kefF	1.6.5.2	regulator of KefC-mediated potassium transport and quinone oxidoreductase
b0047	CDS	kefC		K(+) : H(+) antiporter KefC
b0048	CDS	folA	1.5.1.3	dihydrofolate reductase
b0049	CDS	apaH	3.6.1.41	diadenosine tetraphosphatase
b0050	CDS	apaG		DUF525 domain-containing protein ApaG
b0051	CDS	rsmA	2.1.1.182	16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase
b0052	CDS	pdxA	1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase
b0053	CDS	surA	5.2.1.8	chaperone SurA
b0054	CDS	lptD	7.5.2.5	lipopolysaccharide assembly protein LptD
b0055	CDS	djlA		co-chaperone protein DjlA
b0056	CDS	yabP		putative uncharacterized protein YabP
b0057	CDS	yabQ		protein YabQ
b0058	CDS	rluA	5.4.99.28	23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase
b0059	CDS	rapA		RNA polymerase-binding ATPase and RNAP recycling factor
b0060	CDS	polB	2.7.7.7	DNA polymerase II
