name,Control,Treatment,FDR,AveExpr,P value,CRTL1,CRTL2,T2,T1,CRTL1 CPM,CRTL2 CPM,T2 CPM,T1 CPM
sulA,0,3.6345552590568,0.00000452530541515575,8.31790740900274,1.02614635264303e-9,436,950,7172,7196,97.681,96.127,1121.280,983.105
cheZ,0,3.14439008449691,0.00000549344641531979,6.9984272247661,3.37383298266867e-9,215,436,2302,2548,48.168,44.117,359.898,348.103
cheB,0,2.89175140306935,0.00000549344641531979,6.41643576166028,1.05448015594897e-8,152,326,1347,1638,34.054,32.987,210.592,223.781
cheR,0,2.95099072545975,0.00000549344641531979,6.00599654880216,1.24567945925619e-8,112,240,1050,1239,25.092,24.285,164.158,169.270
tap,0,2.70860493916978,0.00000549344641531979,7.28628350576571,1.20556902348924e-8,318,598,2350,2736,71.245,60.510,367.402,373.788
cheA,0,2.88563763380012,0.00000549344641531979,7.95195034060336,7.13903951842348e-9,478,885,3921,4672,107.091,89.550,613.014,638.280
motB,0,2.58628457853089,0.00000549344641531979,7.15324216656422,1.0935279670605e-8,280,608,2068,2401,62.731,61.522,323.314,328.020
recN,0,3.50144857312651,0.00000549344641531979,7.72052683956066,8.1285504617682e-9,259,749,4271,4919,58.026,75.789,667.734,672.025
ygdI,0,-2.68619862145806,0.00000549344641531979,8.53318654073407,1.17548191880285e-8,4807,9286,923,943,1076.957,939.620,144.303,128.831
tsr,0,2.58436718015971,0.00000549344641531979,7.91420232280593,1.18148600535254e-8,473,1036,3716,3833,105.971,104.829,580.964,523.658
flgK,0,2.67575802918142,0.00000603330403165922,7.95328412827492,1.84491370847843e-8,516,950,3926,4042,115.604,96.127,613.796,552.211
yebG,0,2.39877983503172,0.00000603330403165922,7.31986294084743,1.82935364459662e-8,332,735,2163,2543,74.381,74.372,338.166,347.420
cheY,0,3.00920151639752,0.00000603330403165922,5.92951553969222,2.09090224936618e-8,99,232,1095,1124,22.180,23.475,171.194,153.559
fliC,0,2.75257130578133,0.00000603330403165922,12.4887881512766,2.08214368759421e-8,9817,25342,90437,100177,2199.395,2564.275,14139.039,13686.007
recA,0,2.8606696713743,0.00000603330403165922,10.4977451146018,1.75262356989701e-8,2351,6209,24156,25590,526.717,628.269,3776.581,3496.061
tisB,0,2.93159834932703,0.00000603330403165922,5.81939132599557,2.18895384368589e-8,106,201,906,1079,23.748,20.339,141.645,147.411
uvrA,0,2.23022590240563,0.00000607520860755478,9.51281773043972,2.34191715030456e-8,1688,3411,9516,10730,378.178,345.148,1487.744,1465.914
hdeA,0,-2.2097184618631,0.00000619030864578787,9.56632658653995,2.5266565901175e-8,7702,17491,2126,2381,1725.551,1769.858,332.382,325.288
polB,0,2.39055231441591,0.00000785275579328621,7.70937158306578,3.56134049582141e-8,484,881,2868,3234,108.435,89.146,448.387,441.823
cheW,0,2.49157020713278,0.00000785275579328621,6.54426108728301,3.42634148585231e-8,201,392,1274,1554,45.032,39.665,199.179,212.305
motA,0,2.27901701969831,0.0000113015261908544,7.22738778115194,5.8340504744538e-8,360,657,1950,2252,80.654,66.480,304.866,307.664
dinD,0,2.62324870056687,0.0000113015261908544,6.6611822645654,6.1504904440024e-8,204,413,1649,1553,45.704,41.790,257.807,212.168
fdoH,0,2.37649723436818,0.0000113015261908544,7.8847904144203,5.98301849193313e-8,451,1193,3220.99,3712,101.042,120.716,503.574,507.127
lexA,0,2.19176852430893,0.0000113015261908544,9.14850827433822,5.69442561973391e-8,1224,2913,7666,7832,274.224,294.757,1198.512,1069.994
tar,0,2.2370022033719,0.0000126120880423146,7.32799374506931,7.14970977455474e-8,366,758,1934,2559,81.998,76.700,302.364,349.606
flgL,0,2.29138754590855,0.0000126762858867774,7.41650096162225,7.47354723483473e-8,341,873,2359,2499,76.397,88.336,368.809,341.409
dinB,0,2.57652002205229,0.0000153917867977622,5.49649482917122,1.01116843916772e-7,99,177,659,736,22.180,17.910,103.029,100.551
fliD,0,2.27477959921194,0.0000153917867977622,6.68710308900391,9.50686718696086e-8,218,505,1269,1660,48.841,51.099,198.397,226.786
glcD,0,2.96347295729592,0.0000153917867977622,4.61468743051514,1.0121583154991e-7,44,88,408,462,9.858,8.904,63.787,63.118
ybgS,0,-1.84078179790368,0.0000190121490601202,7.59195904698834,1.37736464936477e-7,1829,3690,608,696,409.768,373.379,95.056,95.086
ycgZ,0,-3.39226913808814,0.0000190121490601202,5.67838297039537,1.3795663717094e-7,697,1977,103,99,156.155,200.046,16.103,13.525
fdoI,0,2.04306485855298,0.0000190121490601202,6.81679035174118,1.31083364818984e-7,285,551,1315,1610,63.851,55.754,205.589,219.955
flgF,0,2.10775628424779,0.0000201765461031389,6.52566858258019,1.52358594320299e-7,204,483,1206,1247,45.704,48.873,188.548,170.363
pdeH,0,2.779204632582,0.0000201765461031389,5.57709310953196,1.55556137756627e-7,101,170,681,909,22.628,17.202,106.468,124.186
flgE,0,1.86439189446824,0.0000321322639560057,7.94805387367431,2.55017967904807e-7,583,1445,2944,3092,130.615,146.215,460.269,422.424
flgG,0,1.84572305715849,0.0000325975461051813,6.99784967311106,2.66102417185154e-7,316,723,1528,1574,70.796,73.158,238.890,215.037
flgI,0,2.24187277214875,0.0000326896882204829,5.33478992284637,2.74267225432623e-7,83,205,533,598,18.595,20.743,83.330,81.698
nadA,0,-1.8096674548279,0.0000347826163983175,7.23533672752631,2.99714154906137e-7,1291,3117,486,543,289.235,315.399,75.982,74.184
hdeB,0,-2.00246391424456,0.0000355233694927246,8.57962554920527,3.16814764197368e-7,3986,7432,1257,1187,893.021,752.020,196.521,162.166
fdoG,0,1.67259651890674,0.0000355233694927246,10.4773366981349,3.22207433040586e-7,3715.98,8693.94,15014,17581,832.526,879.712,2347.308,2401.886
fliA,0,1.82757578689681,0.0000394466341786495,6.51188616026457,3.66737415266356e-7,229,515,1081,1119,51.305,52.111,169.005,152.876
dinF,0,2.08429840593763,0.0000401639592591502,5.58872215275245,3.82513897706193e-7,118,235,559,709,26.437,23.779,87.395,96.862
flgH,0,2.15123169972021,0.0000415932711611459,5.15474008004732,4.08945050382155e-7,85,170,459,496,19.043,17.202,71.761,67.763
umuC,0,2.62719489338151,0.0000415932711611459,5.12581716232679,4.14989553535243e-7,65,151,465,664,14.563,15.279,72.699,90.715
rcsA,0,-2.50738329430067,0.0000418913820959177,5.22164151884464,4.27463082611405e-7,478,846,95,103,107.091,85.604,14.852,14.072
