GENE,Control,Treatment,FDR,AveExpr,P value,CRTL1,CTRL2,CTRL3,T1,T2,T3,CRTL1 CPM,CTRL2 CPM,CTRL3 CPM,T1 CPM,T2 CPM,T3 CPM
glcD_4,0,-4.12538506260416,0.00000295104764180295,7.03636640256842,4.39864009808161e-10,24980,12107,10867,711,613,865,495.887,537.264,554.672,31.663,30.977,35.220
yfdE_1,0,3.44626254443783,0.00000506140728788021,6.35174059352449,3.77210261430929e-9,1263,618,389,5217,6614,6856,25.072,27.425,19.855,232.330,334.227,279.154
gcdH,0,3.97001268356297,0.00000506140728788021,8.2020599519743,1.89174731281241e-9,3464,1993,1200,21831,28303,30899,68.765,88.442,61.250,972.207,1430.242,1258.105
dhcA,0,3.54840844055939,0.00000506140728788021,7.41750211553409,2.51601853086337e-9,2207,1279,885,10883,14058,15834,43.812,56.757,45.172,484.656,710.396,644.708
,0,-3.2393272421336,0.00000506140728788021,6.17298549551505,3.05583058243269e-9,10062,5377,4030,482,565,575,199.744,238.611,205.699,21.465,28.551,23.412
,0,-2.80352428847057,0.00000901586221671256,4.9472501123579,9.40692137680547e-9,3986,2258,1216,275,235,294,79.127,100.202,62.067,12.247,11.875,11.971
,0,3.1574921935695,0.00000901586221671256,6.62574925510191,8.19176104320122e-9,1565,806,573,8141,5111,7470,31.067,35.767,29.247,362.546,258.275,304.154
dhcB,0,3.73634855535628,0.00000910607936383784,6.51668634974144,1.0858344747459e-8,1217,765,340,6938,8319,7807,24.159,33.948,17.354,308.972,420.386,317.875
,0,-2.98778305786169,0.0000103783944191717,5.61141200902268,1.39224250667082e-8,5762,3117,2877,340,364,516,114.383,138.321,146.847,15.141,18.394,21.010
,0,2.43766008929317,0.0000114794104414781,4.52046927352772,1.92092104871854e-8,467,250,163,1355,1040,1313,9.271,11.094,8.320,60.343,52.555,53.461
,0,-3.01886353187217,0.0000114794104414781,4.46897125516076,2.05325570573464e-8,3214,1793,879,196.136,156,183,63.802,79.567,44.866,8.735,7.883,7.451
,0,-3.21605607110999,0.0000114794104414781,5.13085499669395,2.03092685205612e-8,5055,3230,1507,244,287,259,100.349,143.336,76.920,10.866,14.503,10.546
coxA,0,2.6957293364793,0.0000131699427843957,5.31024506540145,3.19551568604259e-8,684,382,291,2417,2463,2083,13.578,16.952,14.853,107.637,124.463,84.813
,0,-2.64945567172384,0.0000131699427843957,5.31051994221987,2.81520712174382e-8,4880,2476,1642,350,279,487,96.875,109.876,83.811,15.587,14.099,19.829
opdO,0,2.53043298125719,0.0000131699427843957,6.707667137227,2.95519686695513e-8,2128,1133,684,5826,4746,6929,42.244,50.278,34.913,259.451,239.831,282.126
phr,0,-2.45693477464021,0.0000131699427843957,6.37176678117546,3.33714454217807e-8,8991,5310,3087,727,802,909,178.483,235.638,157.566,32.376,40.528,37.011
,0,2.52206079738747,0.0000131699427843957,6.08654968199872,3.11396621116866e-8,1486,645,477,3946,3181,4155,29.499,28.623,24.347,175.729,160.746,169.178
,0,2.7911842364202,0.0000147395540664366,6.17047258284808,4.03866743414407e-8,1424,762,379,4405,3859,4835,28.268,33.815,19.345,196.169,195.008,196.865
,0,-2.52179633518742,0.0000147395540664366,6.21287942167349,4.17426631781631e-8,8579,4651,2845,601,646,915,170.305,206.394,145.214,26.765,32.644,37.256
phzB2_1,0,3.36733879362697,0.0000154077118716923,4.1006280407096,4.59314707756515e-8,232.243,106.193,124.626,1438.55,874.653,1580.93,4.610,4.712,6.361,64.063,44.199,64.370
coxB,0,2.8083980253391,0.0000154132329038546,6.56609614411149,6.39924171175483e-8,1579,827,707,5896,6407,5027,31.345,36.699,36.087,262.569,323.766,204.683
,0,2.76739979018026,0.0000154132329038546,4.9403300407449,5.40081752744514e-8,562,331,174,2198,1674,1697,11.156,14.689,8.881,97.884,84.593,69.096
,0,2.53761946472778,0.0000154132329038546,3.88651312564755,5.94029164130376e-8,303,150,100,950,757,768,6.015,6.656,5.104,42.307,38.254,31.270
,0,-2.59409558250592,0.0000154132329038546,5.84705107944343,5.17313787101461e-8,6885,4020,2074,462,544,610,136.677,178.393,105.861,20.574,27.490,24.837
,0,3.00036945272321,0.0000154132329038546,4.89732319538935,5.52603629368054e-8,528,252,175,2502,1752,1655,10.482,11.183,8.932,111.422,88.534,67.386
ybgK_1,0,2.89088449473632,0.0000154132329038546,6.52829636301979,6.20441994805919e-8,1611,1038,468,6139,5353,5824,31.981,46.063,23.888,273.390,270.504,237.134
,0,-2.18016654640143,0.0000154132329038546,4.76967084001383,6.20757151904724e-8,2654,1560,950,275,245,375,52.685,69.227,48.490,12.247,12.381,15.269
,0,-2.89764684659283,0.0000154132329038546,5.13675190524106,6.43271011041776e-8,5258,2785,1239,306,249,331,104.378,123.588,63.241,13.627,12.583,13.477
ybaK,0,-2.88209723159171,0.0000167338816246723,4.93524803942647,7.23330700723652e-8,4480,1862,1397,213,208,383,88.934,82.629,71.305,9.486,10.511,15.594
glpF,0,-2.16037991774007,0.0000170400675124272,5.58982124701862,7.61964563083641e-8,5098,2430,1721,468,464,652,101.202,107.834,87.843,20.842,23.447,26.547
