Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR10398412_1	86.39247037259352	59.0	51.0	20.0	61643324.0
SRR10398412_2	89.09129167900299	58.0	51.0	10.0	61643324.0
SRR10398413_1	80.66068457662658	60.0	51.0	10.0	29718557.0
SRR10398413_2	84.33263366231326	60.0	51.0	10.0	29718557.0
SRR10398414_1	83.56469223254936	58.0	51.0	10.0	25221939.0
SRR10398414_2	85.91164895465364	57.0	51.0	10.0	25221939.0
SRR10398415_1	85.03051485857588	59.0	51.0	30.0	32020972.0
SRR10398415_2	87.38341242266803	59.0	51.0	20.0	32020972.0
SRR10398416_1	83.57510724596001	59.0	51.0	20.0	28648520.0
SRR10398416_2	86.13367556080344	59.0	51.0	20.0	28648520.0
SRR10398417_1	83.05400783072693	59.0	51.0	20.0	32172184.0
SRR10398417_2	85.86309580541146	59.0	51.0	20.0	32172184.0
SRR12820309_1	77.08703395888527	50.0	40.0	20.0	5838756.0
SRR12820309_2	78.53409593153538	48.0	40.0	10.0	5838756.0
SRR12820310_1	86.18736610206298	50.0	40.0	20.0	12447329.0
SRR12820310_2	86.48099945968426	49.0	40.0	10.0	12447329.0
SRR12820333_1	78.94614516532843	51.0	40.0	20.0	8961839.0
SRR12820333_2	81.40758267096668	50.0	40.0	10.0	8961839.0
SRR12820334_1	78.68345973060342	51.0	40.0	20.0	7861622.0
SRR12820334_2	80.856692965095	49.0	40.0	10.0	7861622.0
