NAME,DESCRIPTION,CTRL,CIP,FDR,AveExpr,P value,CTRL1,CTRL2,CTRL3,CIP1,CIP2,CIP3,CTRL1 CPM,CTRL2 CPM,CTRL3 CPM,CIP1 CPM,CIP2 CPM,CIP3 CPM
,hypothetical protein,0,3.54807001511849,0.00000288811333394845,6.95673156941188,2.04426180426164e-9,1272,620,392,5265,6670,6913,33.041,36.863,31.381,388.832,551.592,446.941
gcdH,glutaryl-CoA dehydrogenase,0,4.06401057089476,0.00000288811333394845,8.81320310659906,1.08835396281941e-9,3517,2013,1215,22052,28600,31252,91.356,119.684,97.264,1628.588,2365.147,2020.510
dhcA,dehydrocarnitine CoA transferase subunit A,0,3.64991185700484,0.00000288811333394845,8.03354537364953,2.04939743405957e-9,2231,1297,900,11049,14301,16089,57.951,77.114,72.048,815.992,1182.656,1040.189
glcD,glycolate oxidase subunit GlcD,0,-4.03228601492445,0.00000288811333394845,7.64458307593055,8.5259789289587e-10,25213,12222,10959,718,622,870,654.922,726.667,877.301,53.026,51.438,56.247
dhcB,dehydrocarnitine CoA transferase subunit B,0,3.8278705944737,0.00000434770029016639,7.13152788978565,4.62767460368961e-9,1238,779,345,7023,8425,7887,32.158,46.316,27.618,518.664,696.726,509.912
,hypothetical protein,0,-3.14619234389429,0.00000434770029016639,6.78434864781349,4.42361959040469e-9,10176,5452,4074,486,573,582,264.327,324.152,326.136,35.892,47.386,37.628
,hypothetical protein,0,3.25491273304203,0.00000491240367432654,7.23488848264234,6.97165680230838e-9,1585,811,580,8231,5149,7558,41.171,48.219,46.431,607.877,425.809,488.641
,glyceraldehyde-3-phosphate dehydrogenase,0,-2.71817141466285,0.00000491240367432654,5.55000029319427,6.17813351771775e-9,4034,2286,1221,273,239,293,104.785,135.916,97.745,20.162,19.765,18.943
,hypothetical protein,0,2.54054479220688,0.00000603777999239814,5.10345508162264,1.09521816149646e-8,466,250,159,1348,1031,1304,12.105,14.864,12.728,99.553,85.261,84.306
,hypothetical protein,0,2.87095848295243,0.00000603777999239814,6.81553170279727,1.17820791052651e-8,1465,800,397,4536,3977,4971,38.054,47.565,31.781,334.993,328.888,321.386
