target_id	length	eff_length	est_counts	tpm
PaeAG1_00001	1539	1383.89	18417	84.6591
PaeAG1_00002	1104	948.889	20916	140.223
PaeAG1_00003	1110	954.889	11431	76.1531
PaeAG1_00004	2421	2265.89	54585	153.247
PaeAG1_00005	774	618.889	4309	44.2914
PaeAG1_00006	537	381.889	2578	42.9439
PaeAG1_00007	1707	1551.89	8351	34.2321
PaeAG1_00008	2058	1902.89	11160	37.3084
PaeAG1_00009	948	792.889	5898	47.3204
PaeAG1_00010	552	396.889	578	9.26434
PaeAG1_00011	888	732.889	6599	57.2791
PaeAG1_00012	267	113.219	1234	69.335
PaeAG1_00013	654	498.889	736	9.3849
PaeAG1_00014	273	118.87	425	22.7443
PaeAG1_00015	318	163.089	1277	49.8106
PaeAG1_00016	1374	1218.89	3782	19.7385
PaeAG1_00017	1305	1149.89	3053	16.8899
PaeAG1_00018	945	789.889	2626	21.1487
PaeAG1_00019	507	351.889	11697	211.458
PaeAG1_00020	1026	870.889	10267	74.9958
PaeAG1_00021	1089	933.889	274	1.86643
PaeAG1_00022	558	402.889	1648	26.0212
PaeAG1_00023	978	822.889	1250	9.66328
PaeAG1_00024	918	762.889	1754	14.626
PaeAG1_00025	825	669.889	969	9.20189
PaeAG1_00026	987	831.889	2086	15.9516
PaeAG1_00027	1287	1131.89	754	4.23763
PaeAG1_00028	603	447.889	317	4.50241
PaeAG1_00029	1554	1398.89	286	1.30059
PaeAG1_00030	924	768.889	192	1.58852
PaeAG1_00031	1512	1356.89	528	2.4754
PaeAG1_00032	900	744.889	544	4.64583
PaeAG1_00033	378	222.901	496	14.1555
PaeAG1_00034	366	210.933	280	8.4444
PaeAG1_00035	624	468.889	514	6.97347
PaeAG1_00036	807	651.889	1834	17.8971
PaeAG1_00037	1209	1053.89	2882	17.3962
PaeAG1_00038	888	732.889	629	5.4597
PaeAG1_00039	216	67.7888	8498	797.471
PaeAG1_00040	222	72.6511	50867	4454
PaeAG1_00041	1689	1533.89	4065.75	16.8618
PaeAG1_00042	10293	10137.9	6176.27	3.87556
PaeAG1_00043	174	37.9661	746.679	125.111
PaeAG1_00044	3309	3153.89	5386.67	10.865
PaeAG1_00045	282	127.636	3346	166.766
PaeAG1_00046	282	127.636	3346	166.766
PaeAG1_00047	222	72.6511	1481	129.679
PaeAG1_00048	693	537.889	264.262	3.12535
PaeAG1_00049	693	537.889	419.085	4.95638
PaeAG1_00050	2574	2418.89	15427.5	40.5728
PaeAG1_00051	486	330.889	3360.97	64.6156
PaeAG1_00052	693	537.889	562.974	6.65812
PaeAG1_00053	396	240.889	841	22.2093
PaeAG1_00054	1254	1098.89	1159	6.70943
PaeAG1_00055	132	17.8323	148	52.7973
PaeAG1_00056	1374	1218.89	2280	11.8994
PaeAG1_00057	687	531.889	2573	30.7733
PaeAG1_00058	354	198.964	983	31.4293
PaeAG1_00059	666	510.889	1378	17.1585
PaeAG1_00060	384	228.901	520	14.4515
PaeAG1_00061	1662	1506.89	789	3.33082
PaeAG1_00062	141	21.234	2900	868.806
PaeAG1_00063	138	20.0078	1625	516.665
PaeAG1_00064	1833	1677.89	684	2.59328
PaeAG1_00065	429	273.889	225	5.22593
PaeAG1_00066	549	393.889	407	6.57319
PaeAG1_00067	507	351.889	1151	20.8078
PaeAG1_00068	921	765.889	168	1.3954
PaeAG1_00069	888	732.889	304	2.63871
PaeAG1_00070	705	549.889	228	2.63764
PaeAG1_00071	426	270.889	3009	70.6621
PaeAG1_00072	234	82.9434	716	54.9145
PaeAG1_00073	438	282.889	833	18.732
PaeAG1_00074	417	261.889	377	9.15756
PaeAG1_00075	1128	972.889	1691	11.057
PaeAG1_00076	984	828.889	1061	8.14282
PaeAG1_00077	666	510.889	766	9.53802
PaeAG1_00078	543	387.889	985	16.1542
PaeAG1_00079	2046	1890.89	25696	86.4481
PaeAG1_00080	276	121.798	6135	320.428
PaeAG1_00081	1059	903.889	1116	7.85426
PaeAG1_00082	915	759.889	14908	124.803
PaeAG1_00083	1713	1557.89	6031	24.6269
PaeAG1_00084	1200	1044.89	1158	7.05009
PaeAG1_00085	720	564.889	1128	12.7029
PaeAG1_00086	1893	1737.89	2967	10.8605
PaeAG1_00087	729	573.889	1020	11.3065
PaeAG1_00088	681	525.889	1349	16.3183
PaeAG1_00089	3531	3375.89	5085	9.58206
PaeAG1_00090	1350	1194.89	1854	9.87048
PaeAG1_00091	1335	1179.89	2573	13.8725
PaeAG1_00092	465	309.889	956	19.6249
PaeAG1_00093	1506	1350.89	6939	32.6763
PaeAG1_00094	1035	879.889	3515	25.4129
PaeAG1_00095	519	363.889	3596	62.8647
PaeAG1_00096	1497	1341.89	9074	43.0168
PaeAG1_00097	489	333.889	5843	111.324
PaeAG1_00098	786	630.889	1606	16.1938
PaeAG1_00099	510	354.889	588	10.54
PaeAG1_00100	1860	1704.89	1343	5.01113
PaeAG1_00101	1047	891.889	751	5.35655
PaeAG1_00102	2709	2553.89	4908	12.2253
PaeAG1_00103	1941	1785.89	2714.29	9.66846
PaeAG1_00104	285	130.552	595	28.9928
PaeAG1_00105	1293	1137.89	1106	6.18317
PaeAG1_00106	435	279.889	867	19.7056
PaeAG1_00107	2226	2070.89	6837.49	21.0037
PaeAG1_00108	450	294.889	367	7.91705
PaeAG1_00109	1113	957.889	590	3.91826
PaeAG1_00110	1038	882.889	539	3.88364
