target_id	length	eff_length	est_counts	tpm
PA0001	1545	1414.12	7487	124.291
PA0002	1104	973.116	6607	159.388
PA0003	1110	979.116	4505	108.013
PA0004	2421	2290.12	13118	134.47
PA0005	774	643.116	1192	43.5114
PA0006	537	406.116	736	42.5446
PA0007	1707	1576.12	2810	41.8537
PA0008	2055	1924.12	1685	20.5582
PA0009	948	817.116	650	18.6744
PA0010	552	421.116	167	9.3096
PA0011	888	757.116	2036	63.1294
PA0012	267	136.131	615	106.056
PA0013	654	523.116	304	13.6424
PA0014	273	142.131	370	61.1125
PA0015	318	187.116	696	87.3202
PA0016	1374	1243.12	1399	26.4193
PA0017	1305	1174.12	941	18.8146
PA0018	945	814.116	600	17.3014
PA0019	507	376.116	4620	288.361
PA0020	1026	895.116	2361	61.9203
PA0021	1089	958.116	152	3.72427
PA0022	558	427.116	776	42.6513
PA0023	978	847.116	920	25.4954
PA0024	918	787.116	456	13.6001
PA0025	825	694.116	374	12.649
PA0026	987	856.116	690	18.9205
PA0027	1287	1156.12	527	10.701
PA0028	603	472.116	195	9.69621
PA0029	1554	1423.12	225	3.71157
PA0030	924	793.116	123	3.6407
PA0031	1512	1381.12	357	6.06812
PA0032	915	784.116	389	11.6462
PA0032a	378	247.116	546	51.869
PA0033	366	235.116	161	16.0753
PA0034	624	493.116	162	7.71227
PA0035	807	676.116	491	17.0481
PA0036	1209	1078.12	806	17.5503
PA0037	888	757.116	349	10.8213
PA0038	216	85.4619	12953	3558.06
PA0039	228	97.2637	51740	12488
PA0040	1689	1558.12	977.257	14.724
PA0041	10608	10477.1	6245.34	13.9936
PA0041a	702	571.116	596	24.4984
PA0042	396	265.116	458	40.5551
PA0043	1383	1252.12	482	9.03688
PA0044	1374	1243.12	1067	20.1497
PA0045	687	556.116	189	7.97834
PA0046	354	223.116	124	13.0469
PA0047	510	379.116	357	22.1061
PA0048	384	253.116	320	29.6788
PA0049	1662	1531.12	1124	17.2335
PA0050	141	23.6892	1677	1661.87
PA0051	1833	1702.12	414	5.70988
PA0052	429	298.116	213	16.773
PA0054	549	418.116	109	6.11992
PA0055	507	376.116	467	29.1482
PA0056	921	790.116	71	2.10952
PA0057	888	757.116	71	2.20147
PA0058	705	574.116	72	2.94408
PA0059	456	325.116	5944	429.197
PA0060	234	103.244	688	156.437
PA0061	438	307.116	832	63.5971
PA0062	417	286.116	270	22.1533
PA0063	1128	997.116	817	19.235
PA0064	984	853.116	450	12.3828
PA0065	666	535.116	218	9.56367
PA0066	543	412.116	437	24.8931
PA0067	2046	1915.12	7121	87.2895
PA0068	276	145.131	2134	345.185
PA0069	1059	928.116	395	9.99104
PA0070	915	784.116	4206	125.923
PA0071	1713	1582.12	2798	41.5169
PA0072	1200	1069.12	381	8.36597
PA0073	720	589.116	377	15.023
PA0074	3099	2968.12	1382	10.9306
PA0075	729	598.116	367	14.4045
PA0076	681	550.116	412	17.5816
PA0077	3306	3175.12	1834	13.5599
PA0078	1350	1219.12	685	13.1905
PA0079	1335	1204.12	580	11.3077
PA0080	465	334.116	214	15.036
PA0081	1494	1363.12	2669	45.9655
PA0082	1035	904.116	1067	27.7049
PA0083	519	388.116	455	27.5211
PA0084	1497	1366.12	1539	26.4464
PA0085	489	358.116	3145	206.164
PA0086	846	715.116	601	19.7294
PA0087	510	379.116	149	9.22636
PA0088	1860	1729.12	534	7.24992
PA0089	1047	916.116	321	8.22566
PA0090	2709	2578.12	1709	15.5616
PA0091	1932	1801.12	814.806	10.6201
PA0092	285	154.116	215	32.7497
PA0093	1293	1162.12	375	7.57527
PA0094	435	304.116	338	26.0912
PA0095	2226	2095.12	5011.43	56.1525
PA0096	450	319.116	108.19	7.95892
PA0097	1200	1069.12	246.81	5.41944
PA0098	1038	907.116	29	0.750501
PA0099	1161	1030.12	5	0.113946
PA0100	921	790.116	5	0.148558
PA0101	1248	1117.12	752	15.8029
PA0102	729	598.116	1716	67.3516
PA0103	1572	1441.12	235	3.82811
PA0103a	639	508.116	388	17.9261
PA0105	1125	994.116	6890	162.704
PA0106	1593	1462.12	2490	39.9791
PA0107	555	424.116	493	27.2884
PA0108	888	757.116	3403	105.515
PA0109	210	79.6351	1371	404.156
PA0110	795	664.116	606	21.4212
PA0111	579	448.116	693	36.3044
PA0112	1074	943.116	407	10.1308
PA0113	915	784.116	652	19.5202
PA0114	636	505.116	662	30.7669
PA0115	453	322.116	163	11.8793
PA0116	474	343.116	449	30.72
PA0117	729	598.116	177	6.94711
PA0118	588	457.116	195	10.0144
PA0119	1350	1219.12	779	15.0006
PA0120	687	556.116	620	26.1723
PA0121	735	604.116	355	13.7951
PA0122	411	280.116	4985	417.776
PA0123	909	778.116	710	21.4205
PA0124	282	151.116	237	36.8175
PA0125	228	97.2637	185	44.6516
PA0126	621	490.116	163	7.80737
PA0127	501	370.116	369	23.4048
PA0128	342	211.116	1011	112.421
PA0129	1428	1297.12	891	16.1256
PA0130	1494	1363.12	2874	49.496
PA0131	288	157.116	403	60.2145
PA0132	1347	1216.12	3480	67.1769
PA0133	918	787.116	982	29.2879
PA0134	1371	1240.12	1414	26.7672
PA0135	141	23.6892	10	9.90981
PA0136	1572	1441.12	206	3.35571
PA0137	1098	967.116	93	2.25746
PA0138	927	796.116	219	6.45779
PA0139	564	433.116	19160	1038.5
PA0140	1566	1435.12	1677	27.4323
PA0141	897	766.116	4214	129.127
PA0142	1350	1219.12	401	7.72174
PA0143	1053	922.116	382	9.7251
PA0144	627	496.116	153	7.23976
PA0145	519	388.116	300	18.1458
PA0146	1098	967.116	138	3.34978
PA0147	963	832.116	327	9.22529
PA0148	951	820.116	825	23.6154
PA0149	546	415.116	118	6.67312
PA0150	996	865.116	92	2.49649
PA0151	2388	2257.12	221	2.29855
PA0152	828	697.116	460	15.4906
PA0153	720	589.116	228	9.08553
PA0154	606	475.116	294	14.5266
PA0155	840	709.116	116	3.84023
PA0156	1152	1021.12	910	20.921
PA0157	1071	940.116	626	15.6318
PA0158	3048	2917.12	3444	27.7157
PA0159	939	808.116	754	21.9035
PA0160	186	57.0223	183	75.3394
PA0162	1335	1204.12	282	5.4979
PA0163	798	667.116	305	10.7328
PA0164	1617	1486.12	324	5.11809
PA0165	837	706.116	241	8.0123
PA0166	1407	1276.12	173	3.18253
PA0167	666	535.116	566	24.8305
PA0168	591	460.116	189	9.64297
PA0169	708	577.116	448	18.2235
PA0170	381	250.116	270	25.3419
PA0171	543	412.116	277	15.7789
PA0172	1992	1861.12	741	9.34675
PA0173	1050	919.116	130	3.32039
PA0174	603	472.116	108	5.37021
PA0175	843	712.116	516	17.0104
PA0176	2040	1909.12	3233	39.7548
PA0177	486	355.116	1046	69.1477
PA0178	1920	1789.12	3035	39.8232
PA0179	366	235.116	4217	421.054
PA0180	1173	1042.12	2185.19	49.2255
PA0181	933	802.116	822	24.0575
PA0182	753	622.116	139	5.24517
PA0183	1611	1480.12	347	5.50364
PA0184	840	709.116	74	2.4498
PA0185	1617	1486.12	149	2.35369
PA0186	1062	931.116	189	4.76512
PA0187	816	685.116	98	3.35798
PA0188	882	751.116	63	1.96902
PA0189	1359	1228.12	157	3.00107
PA0190	726	595.116	64	2.52461
PA0191	918	787.116	214	6.3825
PA0192	2373	2242.12	170	1.77995
PA0193	903	772.116	80	2.43234
PA0194	900	769.116	192	5.86038
PA0195	1119	988.116	1457	34.6153
PA0195.1	309	178.116	197	25.9645
PA0196	1437	1306.12	1039	18.6745
PA0197	813	682.116	60	2.06495
PA0198	720	589.116	241	9.60356
PA0199	402	271.116	520	45.0261
PA0200	213	82.5624	1817	516.64
PA0201	582	451.116	526	27.3725
PA0202	1458	1327.12	113	1.99887
PA0203	1035	904.116	42	1.09054
PA0204	810	679.116	22	0.760492
PA0205	921	790.116	27	0.802212
PA0206	1113	982.116	35	0.836607
PA0207	894	763.116	16	0.492204
PA0208	1665	1534.12	6208	94.9969
PA0209	882	751.116	933	29.1602
PA0210	300	169.116	258	35.8139
PA0211	864	733.116	996	31.8935
PA0212	807	676.116	620	21.5272
PA0213	693	562.116	348	14.5335
PA0214	933	802.116	746	21.8332
PA0215	405	274.116	305	26.1205
PA0216	765	634.116	242	8.95907
PA0217	930	799.116	246	7.22672
PA0218	921	790.116	284	8.43808
PA0219	1491	1360.12	83	1.43258
PA0220	1434	1303.12	288	5.1883
PA0221	1383	1252.12	101	1.89362
PA0222	1059	928.116	69	1.74527
PA0223	882	751.116	248	7.75105
PA0224	783	652.116	192	6.91182
PA0225	540	409.116	244	14.001
PA0226	852	721.116	89	2.89735
PA0227	783	652.116	114	4.10389
PA0228	1206	1075.12	282	6.15758
PA0229	1299	1168.12	314	6.31044
PA0230	1380	1249.12	673	12.6482
PA0231	792	661.116	220	7.81198
PA0232	402	271.116	273	23.6387
PA0233	942	811.116	388	11.2296
PA0234	834	703.116	155	5.17512
PA0235	1347	1216.12	75	1.44778
PA0236	780	649.116	169	6.11196
PA0237	1044	913.116	38	0.976953
PA0238	816	685.116	302	10.3481
PA0239	879	748.116	148	4.64418
PA0240	1266	1135.12	310	6.41117
PA0241	1326	1195.12	105	2.06251
PA0242	1905	1774.12	178	2.35534
PA0243	669	538.116	324	14.1347
PA0244	855	724.116	88	2.85293
PA0245	447	316.116	62	4.60428
PA0246	1506	1375.12	455	7.76762
PA0247	1185	1054.12	131	2.91742
PA0248	867	736.116	220	7.01605
PA0249	447	316.116	445	33.0468
PA0250	435	304.116	1681	129.761
PA0251	642	511.116	109	5.00637
PA0252	288	157.116	32	4.7813
PA0253	477	346.116	358	24.2816
PA0254	1491	1360.12	522	9.00971
PA0255	687	556.116	356	15.028
PA0256	933	802.116	3074	89.9669
PA0257	792	661.116	798	28.3362
PA0258	186	57.0223	476	195.965
PA0259	1443	1312.12	3311	59.2384
PA0260	2151	2020.12	1119	13.0038
PA0261	498	367.116	198	12.6613
PA0262	3060	2929.12	834.939	6.69166
PA0263	519	388.116	0	0
PA0263.1	77	9.98551	210	493.702
PA0265	1452	1321.12	7476	132.845
PA0266	1281	1150.12	7406	151.167
PA0267	1200	1069.12	251	5.51144
PA0268	1422	1291.12	299	5.43653
PA0269	438	307.116	191	14.5998
PA0270	408	277.116	187	15.8415
PA0271	285	154.116	117	17.8219
PA0272	933	802.116	201	5.88268
PA0273	1215	1084.12	51	1.10436
PA0274	771	640.116	87	3.19063
PA0275	687	556.116	625	26.3834
PA0276	516	385.116	189	11.5209
PA0277	759	628.116	218	8.14766
PA0278	753	622.116	453	17.094
PA0279	699	568.116	332	13.7188
PA0280	990	859.116	349	9.53652
PA0281	870	739.116	180	5.7171
PA0282	819	688.116	113	3.85508
PA0283	999	868.116	336	9.0861
PA0284	183	54.3403	429	185.332
PA0285	2283	2152.12	759	8.27927
PA0286	1179	1048.12	4416	98.909
PA0287	1386	1255.12	117	2.18836
PA0288	957	826.116	62	1.76184
PA0289	963	832.116	495	13.9649
PA0290	972	841.116	1713	47.8099
PA0291	1383	1252.12	3038	56.9586
PA0292	1107	976.116	928	22.3184
PA0293	879	748.116	172	5.39729
PA0294	666	535.116	375	16.4513
PA0295	1062	931.116	536	13.5138
PA0296	1377	1246.12	9857.11	185.698
PA0297	753	622.116	6911	260.787
PA0298	1359	1228.12	8078	154.412
PA0299	1371	1240.12	13858	262.334
PA0300	1104	973.116	10071	242.954
PA0301	1098	967.116	1881	45.659
PA0302	1155	1024.12	1490	34.1549
PA0303	882	751.116	1070	33.442
PA0304	870	739.116	1761	55.9323
PA0305	2388	2257.12	614	6.38602
PA0306	1053	922.116	378	9.62326
PA0306a	504	373.116	4265	268.344
PA0307	612	481.116	473	23.0796
PA0308	1020	889.116	418	11.0366
PA0309	753	622.116	679	25.6221
PA0310	699	568.116	958	39.5863
PA0311	555	424.116	59	3.26575
PA0312	495	364.116	1233	79.495
PA0313	693	562.116	703	29.3593
PA0314	771	640.116	1064	39.0211
PA0315	438	307.116	3094	236.502
PA0316	1230	1099.12	3067	65.5068
PA0317	1395	1264.12	2355	43.7341
PA0318	666	535.116	2798	122.748
PA0319	990	859.116	932	25.4671
PA0320	351	220.116	827	88.2004
PA0321	1035	904.116	239	6.20569
PA0322	1395	1264.12	302	5.60836
PA0323	1044	913.116	194	4.9876
PA0324	789	658.116	124	4.42319
PA0325	930	799.116	395	11.6039
PA0326	1050	919.116	113	2.88619
PA0327	966	835.116	536	15.0673
PA0328	1944	1813.12	746	9.65893
PA0329	333	202.116	16618	1930.17
PA0330	672	541.116	1043	45.2491
PA0331	1515	1384.12	1053	17.8596
PA0332	468	337.116	1966	136.905
PA0333	1272	1141.12	1150	23.6583
PA0334	1239	1108.12	708	14.9991
PA0335	654	523.116	491	22.0343
PA0336	480	349.116	4704	316.311
PA0337	2280	2149.12	9888	108.01
PA0338	1131	1000.12	1509	35.4205
PA0339	756	625.116	445	16.7115
PA0340	804	673.116	251	8.75387
PA0341	801	670.116	760	26.6244
PA0342	795	664.116	1531	54.1187
PA0343	798	667.116	1062	37.3714
PA0344	1380	1249.12	936	17.5909
PA0345	1386	1255.12	1257	23.5108
PA0346	363	232.116	345	34.8924
PA0347	1152	1021.12	280	6.43723
PA0348	1095	964.116	314	7.64569
PA0349	1041	910.116	198	5.10722
PA0350	507	376.116	312	19.4737
PA0351	474	343.116	487	33.3199
PA0352	1386	1255.12	342	6.39673
PA0353	1839	1708.12	2707	37.2038
PA0354	1197	1066.12	755	16.6249
PA0355	540	409.116	9397	539.211
PA0356	825	694.116	725	24.5201
PA0357	813	682.116	1203	41.4022
PA0358	579	448.116	365	19.1214
PA0359	345	214.116	3103	340.212
PA0360	987	856.116	1091	29.9163
PA0361	1734	1603.12	1285	18.8172
PA0362	252	121.131	2097	406.407
PA0363	480	349.116	712	47.877
PA0364	1596	1465.12	521	8.34799
PA0365	549	418.116	178	9.994
PA0366	1431	1300.12	682	12.3145
PA0367	648	517.116	631	28.6456
PA0367a	411	280.116	515	43.1604
PA0368	999	868.116	664	17.9559
PA0370	597	466.116	276	13.9005
PA0371	1488	1357.12	638	11.0362
PA0372	1398	1267.12	485	8.98548
PA0373	1368	1237.12	1653.69	31.3805
PA0374	672	541.116	1087	47.158
PA0375	1008	877.116	2847	76.1985
PA0376	855	724.116	21931	710.995
PA0377	606	475.116	395	19.517
PA0378	732	601.116	274	10.7006
PA0379	378	247.116	351	33.3444
PA0380	201	70.9601	205	67.8196
PA0381	798	667.116	662	23.2955
PA0382	672	541.116	602	26.1169
PA0383	1347	1216.12	567	10.9452
PA0384	258	127.131	225	41.5479
PA0385	324	193.116	160	19.4499
PA0386	1155	1024.12	151	3.46134
PA0387	594	463.116	3155	159.928
PA0388	420	289.116	2733	221.914
PA0389	621	490.116	734	35.1571
PA0390	1140	1009.12	654	15.2143
PA0391	1968	1837.12	1097	14.018
PA0392	594	463.116	1921	97.3764
PA0393	822	691.116	2202	74.7967
PA0394	693	562.116	1257	52.4959
PA0395	1035	904.116	3160	82.0501
PA0396	1149	1018.12	4918	113.399
PA0397	900	769.116	1180	36.0169
PA0398	405	274.116	1290	110.477
PA0399	1374	1243.12	790	14.9187
PA0400	1185	1054.12	749	16.6805
PA0401	1272	1141.12	1467	30.1798
PA0402	1005	874.116	1318	35.3967
PA0403	513	382.116	746	45.8311
PA0404	435	304.116	522	40.2947
PA0405	570	439.116	910	48.6495
PA0406	960	829.116	724	20.4993
PA0407	954	823.116	5201	148.334
PA0408	408	277.116	8531	722.694
PA0409	366	235.116	2649	264.494
PA0410	537	406.116	1431	82.7191
PA0411	2049	1918.12	6525	79.8586
PA0412	876	745.116	1279	40.2961
PA0413	7419	7288.12	17232	55.5055
PA0414	1032	901.116	1628	42.4121
PA0415	507	376.116	730	45.5635
PA0416	795	664.116	418	14.7757
PA0417	612	481.116	135	6.58719
PA0418	1416	1285.12	340	6.21087
PA0419	723	592.116	306	12.132
PA0420	1404	1273.12	861	15.8764
PA0421	1491	1360.12	1735	29.9461
PA0422	570	439.116	682	36.4604
PA0423	576	445.116	7557	398.559
PA0424	444	313.116	1165	87.3448
PA0425	1152	1021.12	4420	101.616
PA0426	3141	3010.12	11500.9	89.6942
PA0427	1458	1327.12	10481	185.4
PA0428	1920	1789.12	2683	35.2045
PA0429	1071	940.116	3929	98.1108
PA0430	873	742.116	1109	35.0813
PA0431	555	424.116	496	27.4545
PA0432	1410	1279.12	3486	63.9784
PA0433	435	304.116	33	2.54736
PA0434	2193	2062.12	392	4.46261
PA0435	1479	1348.12	145	2.52497
PA0436	621	490.116	1738	83.2467
PA0437	1272	1141.12	447	9.19589
PA0438	1251	1120.12	164	3.43714
PA0439	1278	1147.12	105	2.14881
PA0440	1368	1237.12	149	2.82743
PA0441	1440	1309.12	424	7.60333
PA0442	117	13.4598	2	3.48826
PA0443	1491	1360.12	151	2.60626
PA0444	1284	1153.12	784	15.961
PA0445	1017	886.116	238.5	6.3185
PA0446	1224	1093.12	6670	143.244
PA0447	1182	1051.12	28600	638.751
PA0448	909	778.116	600	18.1019
PA0449	540	409.116	5026	288.398
PA0450	1623	1492.12	470	7.39454
PA0451	1332	1201.12	3918	76.5765
PA0452	795	664.116	509	17.9924
PA0451a	732	601.116	645	25.1894
PA0454	2202	2071.12	1510	17.1155
PA0455	1377	1246.12	1110	20.9113
PA0456	210	79.6351	53534	15781.2
PA0457	525	394.116	326	19.4182
PA0457.1	375	244.116	324	31.1577
PA0458	1434	1303.12	837	15.0785
PA0459	2553	2422.12	19086	184.985
PA0460	579	448.116	5496	287.92
PA0461	888	757.116	1703	52.8042
PA0462	510	379.116	2358	146.012
PA0463	690	559.116	413	17.3406
PA0464	1425	1294.12	534	9.68688
PA0465	1359	1228.12	483	9.23259
PA0466	303	172.116	29	3.95543
PA0467	621	490.116	438	20.9793
PA0468	951	820.116	1531	43.8244
PA0469	858	727.116	1443	46.5885
PA0470	2409	2278.12	646	6.65691
PA0471	972	841.116	85	2.37235
PA0472	519	388.116	129	7.80269
PA0473	750	619.116	957	36.2874
PA0474	405	274.116	56	4.7959
PA0475	570	439.116	198	10.5853
PA0476	1728	1597.12	530	7.79032
PA0477	927	796.116	276	8.13858
PA0478	477	346.116	212	14.3791
PA0479	951	820.116	325	9.30302
PA0480	798	667.116	74	2.60403
PA0481	444	313.116	208	15.5946
PA0482	2178	2047.12	8472	97.1537
PA0483	444	313.116	1627	121.983
PA0484	516	385.116	1413	86.1325
PA0485	897	766.116	468	14.3406
PA0486	975	844.116	635	17.6599
PA0487	759	628.116	654	24.443
PA0488	321	190.116	287	35.4389
PA0489	726	595.116	173	6.82434
PA0490	294	163.116	469	67.4983
PA0491	927	796.116	234	6.9001
PA0492	759	628.116	132	4.93344
PA0493	249	118.178	65	12.9119
PA0494	1377	1246.12	179	3.37218
PA0495	879	748.116	348	10.9201
PA0496	978	847.116	276	7.64861
PA0497	1002	871.116	272	7.33008
PA0498	1008	877.116	1141	30.5383
PA0499	702	571.116	322	13.2357
PA0500	1059	928.116	908	22.9668
PA0501	1206	1075.12	476	10.3936
PA0502	723	592.116	478	18.9512
PA0503	825	694.116	222	7.50822
PA0504	687	556.116	312	13.1706
PA0505	231	100.244	5687	1331.8
PA0506	1806	1675.12	5239.68	73.4304
PA0507	1797	1666.12	357.321	5.03465
PA0508	1779	1648.12	415.501	5.91835
PA0509	1482	1351.12	1060	18.4174
PA0510	840	709.116	465	15.394
PA0511	1164	1033.12	490	11.1343
PA0512	516	385.116	236	14.3859
PA0513	444	313.116	95	7.12254
PA0514	525	394.116	64	3.81217
PA0515	453	322.116	165	12.0251
PA0516	1179	1048.12	398	8.91435
PA0517	360	229.116	71	7.27477
PA0518	315	184.116	224	28.561
PA0519	1707	1576.12	1144	17.0394
PA0520	783	652.116	1044	37.583
PA0521	528	397.116	69	4.07895
PA0522	258	127.131	15	2.76986
PA0523	441	310.116	52	3.93637
PA0524	1401	1270.12	180	3.32694
PA0525	1839	1708.12	328	4.50788
PA0526	195	65.3013	183	65.7878
PA0527	684	553.116	836	35.4818
PA0528	879	748.116	153	4.80108
PA0529	702	571.116	686	28.1978
PA0530	1182	1051.12	500	11.167
PA0531	717	586.116	290	11.6153
PA0532	507	376.116	163	10.1738
PA0533	1491	1360.12	507	8.75081
PA0534	1290	1159.12	1165	23.5947
PA0535	555	424.116	516	28.5615
PA0536	1026	895.116	1058	27.7474
PA0537	609	478.116	1599	78.5112
PA0538	510	379.116	732	45.3268
PA0539	831	700.116	217	7.27622
PA0540	387	256.116	468	42.8969
PA0541	459	328.116	709	50.7265
PA0542	420	289.116	723	58.706
