CTRL1	CTRL2	CIP1	CIP2	id	type	name	??	description
263	518	154	138	b0001	CDS	thrL		thr operon leader peptide
12124	22681	19100	15315	b0002	CDS	thrA	1.1.1.3	fused aspartate kinase/homoserine dehydrogenase 1
3144	6679	6657	5624	b0003	CDS	thrB	2.7.1.39	homoserine kinase
4660	10140	9751	8376	b0004	CDS	thrC	4.2.3.1	threonine synthase
209	430	367	279	b0005	CDS	yaaX		DUF2502 domain-containing protein YaaX
225	530	332	250	b0006	CDS	yaaA		peroxide stress resistance protein YaaA
164	294	174	154	b0007	CDS	yaaJ		putative transporter YaaJ
4500	11291	6768	6105	b0008	CDS	talB	2.2.1.2	transaldolase B
159	312	238	188	b0009	CDS	mog	2.7.7.75	molybdopterin adenylyltransferase
116	251	123	107	b0010	CDS	satP		acetate/succinate:H(+) symporter
16	15.0407	28	15	b0011	CDS	yaaW		putative enzyme-specific chaperone YaaW
0	12.9593	0	0	b0012	CDS	mbiA		uncharacterized protein MbiA
13	42	21	15	b0013	CDS	yaaI		DUF2541 domain-containing protein YaaI
3445	8736	5190	4361	b0014	CDS	dnaK		chaperone protein DnaK
794	1675	1522	1283	b0015	CDS	dnaJ		chaperone protein DnaJ
314.333	627	491.667	372.667	b0016	CDS	insL1		IS186/IS421 transposase
72	131	62	49.4463	b0018	CDS	mokC		regulatory protein MokC
0	0	0	13.5537	b4412	CDS	hokC		protein HokC
1245	2333	1258	1219	b0019	CDS	nhaA		Na(+):H(+) antiporter NhaA
606	1123	661	598	b0020	CDS	nhaR		DNA-binding transcriptional activator NhaR
78.219	116.366	81.8211	58.9034	b0021	CDS	insB1		IS1 protein InsB
34.2678	50.2833	29.9535	34.4601	b0022	CDS	insA1		IS1 protein InsA
10212	21928	6508	5884	b0023	CDS	rpsT		30S ribosomal subunit protein S20
36	69	69	62	b0024	CDS	yaaY		DUF2575 domain-containing protein YaaY
1166	3051	2022	1710	b0025	CDS	ribF	2.7.1.26	bifunctional riboflavin kinase/FMN adenylyltransferase
6146	15705	14652	12127	b0026	CDS	ileS	6.1.1.5	isoleucine--tRNA ligase
497	1133	1225	1115	b0027	CDS	lspA	3.4.23.36	lipoprotein signal peptidase
