target_id	length	eff_length	est_counts	tpm
b0001	66	18.1429	152	340.344
b0002	2463	2229.71	18825	342.979
b0003	933	699.745	6588	382.467
b0004	1287	1053.71	9661	372.462
b0005	297	99.1789	363	148.685
b0006	777	543.891	328	24.4986
b0007	1431	1197.71	174	5.90172
b0008	954	720.709	6698	377.542
b0009	588	357.005	233	26.5132
b0010	567	336.455	121	14.6096
b0011	714	481.122	28	2.36419
b0012	486	259.428	0	0
b0013	405	186.226	21	4.58099
b0014	1917	1683.71	5135	123.895
b0015	1131	897.709	1505	68.1054
b0016	1113	879.709	481	22.2119
b0018	210	44.835	62	56.1765
b4412	153	22.0976	0	0
b0019	1167	933.709	1241	53.9934
b0020	906	672.778	654	39.4899
b0021	504	276.234	81.593	11.9993
b0022	276	84.476	29.9884	14.4211
b0023	264	76.3616	6440	3426.03
b0024	219	49.5187	69	56.6057
b0025	942	708.745	2002	114.75
b0026	2817	2583.71	14476	227.607
b0027	495	267.758	1214	184.186
b0028	450	226.135	887	159.344
b0029	951	717.709	1638	92.7141
b0030	915	681.745	90	5.36292
b0031	822	588.808	1571	108.388
b0032	1149	915.709	3438	152.521
b0033	3222	2988.71	8500	115.536
b0034	396	178.286	46	10.4814
b0035	591	359.969	17	1.91851
b0036	786	552.837	2	0.146965
b0037	1554	1320.71	85	2.61452
b0038	1218	984.709	123	5.07432
b0039	1143	909.709	137	6.11784
b0040	1515	1281.71	8	0.25356
b0041	771	537.918	11	0.830724
b0042	942	708.745	8	0.458543
b0043	1287	1053.71	16	0.61685
b0044	288	92.6991	5	2.19116
b0045	1332	1098.71	19	0.702508
b0046	531	301.868	83	11.1697
b0047	1863	1629.71	529	13.1864
b0048	480	253.781	267	42.7398
b0049	843	609.778	700	46.6344
b0050	378	162.971	859	214.122
b0051	822	588.808	2576	177.727
b0052	990	756.709	1777	95.3979
b0053	1287	1053.71	6412	247.203
b0054	2355	2121.71	9239	176.897
b0055	816	582.808	491	34.2244
b0056	651	418.695	432	41.9147
b0057	159	23.9319	28	47.5293
b0058	660	427.568	531	50.451
b0059	2907	2673.71	2803	42.5882
b0060	2352	2118.71	3234	62.0082
b0061	696	463.169	26	2.28041
b0062	1503	1269.71	49	1.56773
b0063	1701	1467.71	28	0.774994
b0064	879	645.778	122	7.67461
b0065	765	531.972	501	38.2586
b0066	699	466.169	194	16.9059
b0067	1611	1377.71	361	10.6446
b0068	984	750.709	523	28.3016
b0069	1656	1422.71	194	5.53944
b4662	132	16.7756	19	46.0103
b0070	1179	945.709	138	5.92791
b0071	606	374.582	6336	687.146
b0072	1401	1167.71	14746	513.003
b0073	1092	858.709	9121	431.496
b0074	1572	1338.71	8791	266.767
b0075	87	17.2222	20	47.176
b0076	945	711.745	38	2.1689
b4726	45	12.3333	0	0
b0077	1725	1491.71	4850	132.08
b0078	492	264.947	1397	214.199
b0080	1005	771.709	1088	57.2738
b0081	459	234.389	465	80.5928
b0082	942	708.745	609	34.9066
b0083	366	153.214	151	40.0368
b0084	1767	1533.71	1161	30.7517
b0085	1488	1254.71	2089	67.6357
b0086	1359	1125.71	1928	69.5763
b0087	1083	849.709	1490	71.2355
b0088	1317	1083.71	1504	56.3788
b0089	1245	1011.71	1481	59.4675
b0090	1068	834.709	1364	66.3834
b0091	1476	1242.71	2733	89.3409
b0092	921	687.745	1812	107.031
b0093	831	597.778	2103	142.915
b0094	1263	1029.71	3003	118.473
b0095	1152	918.709	7103	314.083
b0096	918	684.745	10641	631.297
b0097	513	284.609	1042	148.73
b0098	2706	2472.71	8191	134.569
b0099	390	173.146	246	57.717
b0101	198	39.2735	260	268.939
b0102	744	511.024	622	49.4458
b0103	621	389.182	241	25.1562
b4727	45	12.3333	0	0
b0104	1044	810.709	1644	82.3791
b0106	1203	969.709	54	2.26221
b0107	1386	1152.71	113	3.98235
b0108	441	218.029	25	4.65806
b0109	894	660.778	837	51.4576
b0110	552	321.987	282	35.5788
b0111	855	621.778	268	17.5097
b0112	1374	1140.71	6628	236.041
b0113	765	531.972	3306	252.461
b0114	2664	2430.71	30027	501.833
b0115	1893	1659.71	14777	361.688
b0116	1425	1191.71	19805	675.126
b0117	1854	1620.71	114	2.85746
b0118	2598	2364.71	11468	197.011
b0119	363	150.705	197	53.103
b0120	795	561.837	2707	195.73
b0121	867	633.778	1988	127.426
b0122	348	138.587	981	287.558
b0123	1551	1317.71	4947	152.512
b0124	2391	2157.71	9368	176.374
b0125	537	307.7	731	96.5097
b0126	663	430.525	6686	630.882
b0127	927	693.745	881	51.5889
b0128	771	537.918	463	34.9659
b0129	441	218.029	113	21.0544
b0130	1230	996.709	236	9.61887
b0131	381	165.503	331	81.246
b0132	903	669.778	116	7.0357
b0133	852	618.778	1860	122.112
b0134	795	561.837	1307	94.503
b0135	1239	1005.71	30	1.2118
b0136	597	365.823	3	0.333143
b0137	606	374.582	4	0.433804
b0138	570	339.353	4	0.478838
b0139	2598	2364.71	27	0.463838
b0140	741	508.024	6	0.479786
b0141	585	354.076	4	0.458927
b0142	480	253.781	168	26.8925
b0143	1398	1164.71	2375	82.8374
b0144	927	693.745	333	19.4996
b0145	456	231.628	3692	647.517
b0146	705	472.146	941	80.9643
b0147	531	301.868	111	14.9378
b0148	2430	2196.71	797	14.7389
b0149	2535	2301.71	1940	34.2398
b0149_1	2400	2166.71	1.16169e-05	2.17807e-07
b0150	2244	2010.71	3730	75.3598
b0151	798	564.837	443	31.8611
b0152	891	657.778	316	19.5159
b0153	1983	1749.71	543	12.6071
b0154	1281	1047.71	2665	103.332
b4765	48	15.3333	2	5.29875
