target_id	length	eff_length	est_counts	tpm
b0001	66	18.5	154	337.004
b0002	2463	2229.44	19100	346.836
b0003	933	699.435	6657	385.316
b0004	1287	1053.44	9751	374.737
b0005	297	99.2355	367	149.722
b0006	777	543.674	332	24.7221
b0007	1431	1197.44	174	5.88278
b0008	954	720.435	6768	380.322
b0009	588	356.948	238	26.9934
b0010	567	336.435	123	14.8009
b0011	714	480.932	28	2.357
b0012	486	259.763	0	0
b0013	405	186.492	21	4.55875
b0014	1917	1683.44	5190	124.812
b0015	1131	897.435	1522	68.6589
b0016	1113	879.435	491.667	22.6335
b0018	210	44.8351	62	55.9834
b4412	153	22.0501	0	0
b0019	1167	933.435	1258	54.561
b0020	906	672.503	661	39.7917
b0021	504	276.701	81.8211	11.9713
b0022	276	84.4172	29.9535	14.3649
b0023	264	76.149	6508	3459.94
b0024	219	49.3737	69	56.5769
b0025	942	708.435	2022	115.549
b0026	2817	2583.44	14652	229.607
b0027	495	268.199	1225	184.912
b0028	450	226.549	900	160.83
b0029	951	717.435	1658	93.5594
b0030	915	681.435	93	5.52515
b0031	822	588.562	1591	109.437
b0032	1149	915.435	3472	153.546
b0033	3222	2988.44	8577	116.192
b0034	396	178.71	46	10.4206
b0035	591	359.912	17	1.91222
b0036	786	552.619	2	0.146517
b0037	1554	1320.44	85	2.60608
b0038	1218	984.435	123	5.05829
b0039	1143	909.435	138	6.14317
b0040	1515	1281.44	8	0.252743
b0041	771	537.728	11	0.828163
b0042	942	708.435	8	0.457167
b0043	1287	1053.44	16	0.61489
b0044	288	92.5431	5	2.18732
b0045	1332	1098.44	19	0.700269
b0046	531	302.04	85	11.3931
b0047	1863	1629.44	531	13.193
b0048	480	254.13	274	43.6496
b0049	843	609.503	707	46.9601
b0050	378	163.114	870	215.93
b0051	822	588.562	2606	179.254
b0052	990	756.435	1799	96.282
b0053	1287	1053.44	6466	248.493
b0054	2355	2121.44	9338	178.201
b0055	816	582.562	499	34.6772
b0056	651	418.588	436	42.1682
b0057	159	23.8416	30	50.9415
b0058	660	427.377	534	50.5843
b0059	2907	2673.44	2831	42.8702
b0060	2352	2118.44	3265	62.3955
b0061	696	462.98	26	2.27351
b0062	1503	1269.44	50	1.59458
