CRTL1	CRTL2	T1	T2	id	type	name	version	description
262	514	152	136	b0001	CDS	thrL		thr operon leader peptide
11992	22374	18825	15126	b0002	CDS	thrA	1.1.1.3	fused aspartate kinase/homoserine dehydrogenase 1
3110	6618	6588	5565	b0003	CDS	thrB	2.7.1.39	homoserine kinase
4632	10045	9661	8305	b0004	CDS	thrC	4.2.3.1	threonine synthase
209	426	363	277	b0005	CDS	yaaX		DUF2502 domain-containing protein YaaX
221	525	328	248	b0006	CDS	yaaA		peroxide stress resistance protein YaaA
162	289	174	154	b0007	CDS	yaaJ		putative transporter YaaJ
4459	11185	6698	6044	b0008	CDS	talB	2.2.1.2	transaldolase B
157	310	233	188	b0009	CDS	mog	2.7.7.75	molybdopterin adenylyltransferase
115	251	121	106	b0010	CDS	satP		acetate/succinate:H(+) symporter
16	15.0519	28	15	b0011	CDS	yaaW		putative enzyme-specific chaperone YaaW
0	11.9481	0	0	b0012	CDS	mbiA		uncharacterized protein MbiA
13	41	21	15	b0013	CDS	yaaI		DUF2541 domain-containing protein YaaI
3414	8644	5135	4334	b0014	CDS	dnaK		chaperone protein DnaK
786	1666	1505	1268	b0015	CDS	dnaJ		chaperone protein DnaJ
310	614	481	365	b0016	CDS	insL1		IS186/IS421 transposase
72	131	62	50.5975	b0018	CDS	mokC		regulatory protein MokC
0	0	0	11.4025	b4412	CDS	hokC		protein HokC
1228	2308	1241	1202	b0019	CDS	nhaA		Na(+):H(+) antiporter NhaA
604	1109	654	585	b0020	CDS	nhaR		DNA-binding transcriptional activator NhaR
77.6669	115.887	81.593	56.6824	b0021	CDS	insB1		IS1 protein InsB
33.7269	49.0718	29.9884	33.8179	b0022	CDS	insA1		IS1 protein InsA
10125	21721	6440	5831	b0023	CDS	rpsT		30S ribosomal subunit protein S20
35	69	69	62	b0024	CDS	yaaY		DUF2575 domain-containing protein YaaY
1157	3016	2002	1701	b0025	CDS	ribF	2.7.1.26	bifunctional riboflavin kinase/FMN adenylyltransferase
6095	15536	14476	11989	b0026	CDS	ileS	6.1.1.5	isoleucine--tRNA ligase
494	1126	1214	1104	b0027	CDS	lspA	3.4.23.36	lipoprotein signal peptidase
447	976	887	874	b0028	CDS	fkpB	5.2.1.8	peptidyl-prolyl cis-trans isomerase FkpB
839	1727	1638	1459	b0029	CDS	ispH	1.17.7.4	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase
32	77	90	82	b0030	CDS	rihC	3.2.2.1	ribonucleoside hydrolase RihC
816	1933	1571	1333	b0031	CDS	dapB	1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase
3532	6699	3438	2039	b0032	CDS	carA	6.3.5.5	carbamoyl phosphate synthetase subunit alpha
6698	13455	8500	5957	b0033	CDS	carB	6.3.5.5	carbamoyl phosphate synthetase subunit beta
137	236	46	39	b0034	CDS	caiF		DNA-binding transcriptional activator CaiF
9	24	17	17	b0035	CDS	caiE		putative transferase CaiE
8	13	2	4	b0036	CDS	caiD	4.2.1.149	crotonobetainyl-CoA hydratase
66	139	85	75	b0037	CDS	caiC	6.2.1.48	carnitine--CoA ligase
47	131	123	113	b0038	CDS	caiB	2.8.3.21	gamma-butyrobetainyl-CoA:carnitine CoA transferase
95	244	137	126	b0039	CDS	caiA	1.3.8.13	crotonobetainyl-CoA reductase
9	22	8	14	b0040	CDS	caiT		L-carnitine:gamma-butyrobetaine antiporter
2	10	11	5	b0041	CDS	fixA		putative electron transfer flavoprotein FixA
3	6	8	9	b0042	CDS	fixB		putative electron transfer flavoprotein FixB
9	15	16	16	b0043	CDS	fixC		putative oxidoreductase FixC
2	0	5	1	b0044	CDS	fixX		putative ferredoxin FixX
13	23	19	7	b0045	CDS	yaaU		putative transporter YaaU
42	123	83	73	b0046	CDS	kefF	1.6.5.2	regulator of KefC-mediated potassium transport and quinone oxidoreductase
269	652	529	419	b0047	CDS	kefC		K(+) : H(+) antiporter KefC
205	567	267	234	b0048	CDS	folA	1.5.1.3	dihydrofolate reductase
384	827	700	630	b0049	CDS	apaH	3.6.1.41	diadenosine tetraphosphatase
384	897	859	706	b0050	CDS	apaG		DUF525 domain-containing protein ApaG
1153	2909	2576	2073	b0051	CDS	rsmA	2.1.1.182	16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase
734	1545	1777	1534	b0052	CDS	pdxA	1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase
2861	7183	6412	5570	b0053	CDS	surA	5.2.1.8	chaperone SurA
5615	14044	9239	7284	b0054	CDS	lptD	7.5.2.5	lipopolysaccharide assembly protein LptD
382	892	491	416	b0055	CDS	djlA		co-chaperone protein DjlA
398	746	432	412	b0056	CDS	yabP		putative uncharacterized protein YabP
27	43	28	21	b0057	CDS	yabQ		protein YabQ
218	521	531	453	b0058	CDS	rluA	5.4.99.28	23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase
908	1966	2803	2232	b0059	CDS	rapA		RNA polymerase-binding ATPase and RNAP recycling factor
484	881	3234	2868	b0060	CDS	polB	2.7.7.7	DNA polymerase II
9	14	26	13	b0061	CDS	araD	5.1.3.4	L-ribulose-5-phosphate 4-epimerase AraD
31	69	49	57	b0062	CDS	araA	5.3.1.4	L-arabinose isomerase
8	29	28	22	b0063	CDS	araB	2.7.1.16	ribulokinase
105	228	122	95	b0064	CDS	araC		DNA-binding transcriptional dual regulator AraC
359	808	501	541	b0065	CDS	yabI		DedA family protein YabI
139	302	194	199	b0066	CDS	thiQ	7.6.2.15	thiamine ABC transporter ATP binding subunit
194	397	361	252	b0067	CDS	thiP	7.6.2.15	thiamine ABC transporter membrane subunit
391	868	523	333	b0068	CDS	thiB	7.6.2.15	thiamine ABC transporter periplasmic binding protein
128	223	194	157	b0069	CDS	sgrR		DNA-binding transcriptional dual regulator SgrR
66	70	19	13	b4662	CDS	sgrT		PtsG glucose transporter inhibitor
113	211	138	105	b0070	CDS	setA		sugar exporter SetA
2440	4600	6336	5461	b0071	CDS	leuD	4.2.1.33	3-isopropylmalate dehydratase subunit LeuD
4715	8552	14746	12524	b0072	CDS	leuC	4.2.1.33	3-isopropylmalate dehydratase subunit LeuC
3194	6177	9121	7591	b0073	CDS	leuB	1.1.1.85	3-isopropylmalate dehydrogenase
5181	11984	8791	6717	b0074	CDS	leuA	2.3.3.13	2-isopropylmalate synthase
40	73	20	11	b0075	CDS	leuL		leu operon leader peptide
102	147	38	53	b0076	CDS	leuO		DNA-binding transcriptional dual regulator LeuO
1	0	0	0	b4726	CDS	yabR		protein YabR
2900	6059	4850	4193	b0077	CDS	ilvI	2.2.1.6	acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit
719	1836	1397	1238	b0078	CDS	ilvH	2.2.1.6	acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit
912	2100	1088	900	b0080	CDS	cra		DNA-binding transcriptional dual regulator Cra
492	1120	465	405	b0081	CDS	mraZ		DNA-binding transcriptional repressor MraZ
528	1419	609	512	b0082	CDS	rsmH	2.1.1.199	16S rRNA m(4)C1402 methyltransferase
87	306	151	95	b0083	CDS	ftsL		cell division protein FtsL
1240	2406	1161	1040	b0084	CDS	ftsI		peptidoglycan DD-transpeptidase FtsI
1310	2742	2089	1824	b0085	CDS	murE	6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase
1012	2044	1928	1545	b0086	CDS	murF	6.3.2.10	D-alanyl-D-alanine-adding enzyme
886	1881	1490	1309	b0087	CDS	mraY	2.7.8.13	phospho-N-acetylmuramoyl-pentapeptide- transferase
