target_id	length	eff_length	est_counts	tpm
PA0001	1545	1397.52	10757	154.995
PA0002	1104	956.519	10598	223.107
PA0003	1110	962.519	6479	135.545
PA0004	2421	2273.52	29201	258.632
PA0005	774	626.519	2393	76.9116
PA0006	537	389.519	1357	70.1512
PA0007	1707	1559.52	4208	54.3336
PA0008	2055	1907.52	5668	59.8335
PA0009	948	800.519	2792	70.2308
PA0010	552	404.519	338	16.8252
PA0011	888	740.519	3330	90.5506
PA0012	267	119.713	491	82.589
PA0013	654	506.519	448	17.8101
PA0014	273	125.689	191	30.5998
PA0015	318	170.537	617	72.8532
PA0016	1374	1226.52	2245	36.8575
PA0017	1305	1157.52	1773	30.8435
PA0018	945	797.519	1343	33.9093
PA0019	507	359.519	5605	313.933
PA0020	1026	878.519	5643	129.343
PA0021	1089	941.519	178	3.80693
PA0022	558	410.519	890	43.6556
PA0023	978	830.519	982	23.8092
PA0024	918	770.519	1024	26.7609
PA0025	825	677.519	661	19.6455
PA0026	987	839.519	1065	25.5448
PA0027	1287	1139.52	548	9.68373
PA0028	603	455.519	199	8.79691
PA0029	1554	1406.52	159	2.27633
PA0030	924	776.519	114	2.95622
PA0031	1512	1364.52	338	4.98793
PA0032	915	767.519	358	9.39242
PA0032a	378	230.519	387	33.8055
PA0033	366	218.519	229	21.1023
PA0034	624	476.519	354	14.9591
PA0035	807	659.519	1019	31.1122
PA0036	1209	1061.52	1569	29.7631
PA0037	888	740.519	340	9.24541
PA0038	216	70.9189	4013	1139.44
PA0039	228	81.962	24755	6081.82
PA0040	1689	1541.52	2214.12	28.9225
PA0041	10608	10460.5	7846.32	15.1042
PA0041a	702	554.519	931	33.8078
PA0042	396	248.519	408	33.0586
PA0043	1383	1235.52	708	11.539
PA0044	1374	1226.52	1302	21.3757
PA0045	687	539.519	1373	51.2445
PA0046	354	206.519	719	70.1056
PA0047	510	362.519	683	37.9379
PA0048	384	236.519	297	25.2856
PA0049	1662	1514.52	370	4.91938
PA0050	141	20.5361	1671	1638.48
PA0051	1833	1685.52	420	5.01764
PA0052	429	281.519	140	10.0139
PA0054	549	401.519	218	10.9329
PA0055	507	359.519	632	35.398
PA0056	921	773.519	84	2.18671
PA0057	888	740.519	172	4.67709
PA0058	705	557.519	114	4.11745
PA0059	456	308.519	1172	76.4943
PA0060	234	87.5801	364	83.6911
PA0061	438	290.519	531	36.8047
PA0062	417	269.519	222	16.5862
PA0063	1128	980.519	1066	21.892
PA0064	984	836.519	633	15.2374
PA0065	666	518.519	484	18.7959
PA0066	543	395.519	566	28.8159
PA0067	2046	1898.52	13854	146.941
PA0068	276	128.664	3142	491.737
PA0069	1059	911.519	621	13.7186
PA0070	915	767.519	7959	208.811
PA0071	1713	1565.52	3147	40.4783
PA0072	1200	1052.52	705	13.4878
PA0073	720	572.519	623	21.912
PA0074	3099	2951.52	2316	15.8007
PA0075	729	581.519	492	17.0367
PA0076	681	533.519	730	27.5522
PA0077	3306	3158.52	2710	17.277
PA0078	1350	1202.52	1148	19.2235
PA0079	1335	1187.52	1463	24.8077
PA0080	465	317.519	534	33.8653
PA0081	1494	1346.52	3846	57.5149
PA0082	1035	887.519	2118	48.0543
PA0083	519	371.519	1779	96.4225
PA0084	1497	1349.52	4796	71.5622
PA0085	489	341.519	3762	221.813
PA0086	846	698.519	998	28.7697
PA0087	510	362.519	351	19.4966
PA0088	1860	1712.52	815	9.58309
PA0089	1047	899.519	382	8.55139
PA0090	2709	2561.52	2607	20.494
PA0091	1932	1784.52	1326.4	14.9671
PA0092	285	137.612	304	44.4837
PA0093	1293	1145.52	695	12.217
PA0094	435	287.519	515	36.0682
PA0095	2226	2078.52	4249.65	41.1702
PA0096	450	302.519	187.626	12.4889
PA0097	1200	1052.52	389.374	7.44938
PA0098	1038	890.519	30	0.678362
PA0099	1161	1013.52	13	0.258283
PA0100	921	773.519	19	0.494614
PA0101	1248	1100.52	633	11.5822
PA0102	729	581.519	2030	70.2936
