target_id	length	eff_length	est_counts	tpm
b0001	66	14.8333	518	781.575
b0002	2463	2220.81	22681	228.576
b0003	933	690.812	6679	216.387
b0004	1287	1044.81	10140	217.21
b0005	297	96.8765	430	99.3412
b0006	777	535.225	530	22.1625
b0007	1431	1188.81	294	5.53495
b0008	954	711.812	11291	355.015
b0009	588	348.892	312	20.0144
b0010	567	328.607	251	17.0953
b0011	714	472.572	15.0407	0.712329
b0012	486	252.636	12.9593	1.14806
b0013	405	181.477	42	5.17973
b0014	1917	1674.81	8736	116.742
b0015	1131	888.812	1675	42.1778
b0016	1113	870.812	627	16.1147
b0018	210	43.5084	131	67.3873
b4412	153	22.0733	0	0
b0019	1167	924.812	2333	56.46
b0020	906	663.812	1123	37.8629
b0021	504	269.042	116.366	9.68018
b0022	276	82.631	50.2833	13.6195
b0023	264	74.6636	21928	6573.09
b0024	219	48.3068	69	31.9684
b0025	942	699.812	3051	97.5753
b0026	2817	2574.81	15705	136.512
b0027	495	260.716	1133	97.2616
b0028	450	220.184	1003	101.952
b0029	951	708.812	1747	55.1621
b0030	915	672.812	79	2.62792
b0031	822	580.004	1939	74.8214
b0032	1149	906.812	6754	166.695
b0033	3222	2979.81	13568	101.908
b0034	396	173.88	242	31.149
b0035	591	351.751	24	1.52706
b0036	786	544.171	13	0.534672
b0037	1554	1311.81	140	2.38856
b0038	1218	975.812	132	3.02752
b0039	1143	900.812	245	6.08711
b0040	1515	1272.81	22	0.386846
b0041	771	529.225	10	0.422901
b0042	942	699.812	6	0.191889
b0043	1287	1044.81	15	0.321316
b0044	288	90.6639	0	0
b0045	1332	1089.81	23	0.472341
b0046	531	294.207	124	9.43295
b0047	1863	1620.81	657	9.07219
b0048	480	247.149	573	51.889
b0049	843	600.945	838	31.2096
b0050	378	158.934	908	127.864
b0051	822	580.004	2944	113.602
b0052	990	747.812	1565	46.8383
b0053	1287	1044.81	7256	155.431
b0054	2355	2112.81	14188	150.293
b0055	816	574.004	896	34.9359
b0056	651	410.451	753	41.0594
b0057	159	23.9621	43	40.1627
b0058	660	419.243	526	28.0801
b0059	2907	2664.81	1984	16.663
b0060	2352	2109.81	885	9.38813
b0061	696	454.895	14	0.688804
b0062	1503	1260.81	69	1.22484
b0063	1701	1458.81	29	0.444916
b0064	879	636.945	231	8.11689
b0065	765	523.278	816	34.9009
b0066	699	457.804	304	14.8619
b0067	1611	1368.81	402	6.57297
b0068	984	741.812	877	26.4597
b0069	1656	1413.81	224	3.54598
b4662	132	17.2027	71	92.372
b0070	1179	936.812	214	5.11259
b0071	606	366.426	4659	284.568
b0072	1401	1158.81	8628	166.639
b0073	1092	849.812	6257	164.787
b0074	1572	1329.81	12097	203.595
b0075	87	14.0333	74	118.019
b0076	945	702.812	147	4.6812
b4726	45	19	0	0
b0077	1725	1482.81	6114	92.2824
b0078	492	258.008	1857	161.086
b0080	1005	762.812	2113	61.9956
b0081	459	228.183	1130	110.834
b0082	942	699.812	1432	45.7974
b0083	366	149.305	312	46.7693
b0084	1767	1524.81	2423	35.5645
b0085	1488	1245.81	2751	49.4217
b0086	1359	1116.81	2065	41.3827
b0087	1083	840.812	1905	50.7079
b0088	1317	1074.81	2092	43.5621
b0089	1245	1002.81	2208	49.2787
b0090	1068	825.812	1971	53.4176
b0091	1476	1233.81	3413	61.9108
b0092	921	678.812	2447	80.6796
b0093	831	589.004	3398	129.117
b0094	1263	1020.81	5318	116.596
b0095	1152	909.812	11706	287.963
b0096	918	675.812	16986	562.528
b0097	513	277.513	1540	124.198
b0098	2706	2463.81	10234	92.9645
b0099	390	168.623	311	41.2784
b0101	198	37.8373	248	146.694
b0102	744	502.33	632	28.1584
b0103	621	381.051	405	23.7876
b4727	45	19	1	1.17795
b0104	1044	801.812	2617	73.0483
b0106	1203	960.812	119	2.77197
b0107	1386	1143.81	156	3.05245
b0108	441	212.447	36	3.79256
b0109	894	651.945	1237	42.4657
b0110	552	314.252	267	19.0157
b0111	855	612.945	399	14.569
b0112	1374	1131.81	13422	265.413
b0113	765	523.278	5133	219.542
b0114	2664	2421.81	30658	283.324
b0115	1893	1650.81	10144	137.528
b0116	1425	1182.81	24142	456.811
b0117	1854	1611.81	217	3.01318
b0118	2598	2355.81	14229	135.18
b0119	363	146.97	335	51.0148
b0120	795	553.117	5102	206.444
b0121	867	624.945	3817	136.697
b0122	348	134.995	1386	229.787
b0123	1551	1308.81	5068	86.664
b0124	2391	2148.81	10732	111.779
b0125	537	299.937	1063	79.3199
b0126	663	422.201	9265	491.14
b0127	927	684.812	1256	41.0485
b0128	771	529.225	756	31.9713
b0129	441	212.447	138	14.5381
b0130	1230	987.812	427	9.6746
b0131	381	161.335	462	64.0904
b0132	903	660.945	198	6.7047
b0133	852	609.945	2694	98.8522
b0134	795	553.117	1577	63.8108
b0135	1239	996.812	112	2.51469
b0136	597	357.716	8	0.500532
b0137	606	366.426	10	0.610792
b0138	570	331.474	29	1.95807
b0139	2598	2355.81	135	1.28254
b0140	741	499.38	15	0.672264
b0141	585	346.032	18	1.16422
b0142	480	247.149	196	17.7491
b0143	1398	1155.81	4163	80.6118
b0144	927	684.812	375	12.2557
b0145	456	225.56	7760	769.979
b0146	705	463.666	1717	82.8791
b0147	531	294.207	132	10.0415
b0148	2430	2187.81	1028	10.5163
b0149	2535	2292.81	2493	24.3351
b0149_1	2400	2157.81	2.24238e-05	2.32581e-07
b0150	2244	2001.81	6331	70.7829
b0151	798	556.117	630	25.3544
b0152	891	648.945	469	16.175
b0153	1983	1740.81	540	6.94259
b0154	1281	1038.81	3249	69.999
b4765	48	12.5	3	5.37144
b0155	1422	1179.81	1190	22.5743
b4728	66	14.8333	15	22.6325
b0156	345	132.564	744	125.611
b0157	624	384.013	204	11.8895
b0158	801	559.117	322	12.8894
b0159	699	457.804	2909	142.214
b0160	1518	1275.81	971	17.0338
b0161	1425	1182.81	3020	57.144
b0162	1158	915.812	266	6.50062
b0163	387	166.188	3209	432.165
b0164	813	571.004	137	5.36983
b0166	825	583.004	8315	319.205
b0167	2673	2430.81	1316	12.1167
b0168	795	553.117	4593	185.849
b0169	726	484.428	47737	2205.49
b0170	852	609.945	19669	721.724
b0171	726	484.428	3351	154.819
b0172	558	319.803	7767	543.563
b0173	1197	954.812	1238	29.019
b0174	762	520.278	3754	161.487
b0175	858	615.945	2260	82.1195
b0176	1353	1110.81	6053	121.958
b0177	2433	2190.81	21887	223.594
b0178	486	252.636	6956	616.231
b0179	1026	783.812	8572	244.765
b0180	456	225.56	3445	341.827
b0181	789	547.117	4149	169.724
b0182	1149	906.812	1819	44.8947
b0183	597	357.716	651	40.7308
b0184	3483	3240.81	6944	47.9552
b0185	960	717.812	4763	148.508
b0186	2142	1899.81	1692	19.9328
b0187	390	168.623	330	43.8002
b0188	1299	1056.81	641	13.575
b0189	255	68.7876	450	146.414
b4406	201	39.2248	591	337.214
b0190	546	308.567	441	31.9867
b0191	423	196.599	346	39.3888
b0192	711	469.572	1122	53.4774
b0193	825	583.004	212	8.13848
b0194	1719	1476.81	8187	124.073
b0195	708	466.619	487	23.3586
b0196	405	181.477	1026	126.533
b0197	816	574.004	12220	476.47
b0198	654	413.41	987	53.4337
b0199	1032	789.812	786	22.273
b0200	576	337.238	1174	77.9131
b0201	1542	1299.81	3022.95	52.051
b0202	77	13.5	417	691.324
b0203	76	13.4615	174.333	289.845
b0204	2904	2661.81	6269.1	52.7117
b0205	120	15.8356	4886.61	6906.43
b0206	77	13.5	193.333	320.518
b0207	804	562.061	217	8.64084
b0208	915	672.812	283	9.41395
b0209	801	559.117	1711	68.49
b0210	624	384.013	544	31.7053
b0211	1359	1116.81	8004	160.401
b0212	756	514.33	1038	45.1685
b0213	723	481.477	600	27.8904
b0214	468	236.318	633	59.9495
b0215	732	490.38	1029	46.9637
b0216	77	13.5	193.333	320.518
b0217	786	544.171	37	1.52176
b4586	480	247.149	2	0.181114
b0219	771	529.225	693	29.3071
b0220	474	241.751	3113	288.197
b0221	2445	2202.81	567	5.76083
b0222	579	340.17	1497	98.493
b0223	768	526.278	1061	45.1211
b0224	741	499.38	3104	139.114
b0225	279	84.4243	855	226.662
b0226	261	72.4597	1496	462.077
b0227	750	508.33	46	2.02531
b0228	498	263.396	100	8.49711
b0231	1056	813.812	182	5.00526
b0232	294	94.7176	121	28.5913
b0233	399	176.539	96	12.1706
b0234	453	222.769	63	6.32943
b0237	1458	1215.81	7585	139.627
b0238	459	228.183	405	39.7238
b0239	1245	1002.81	918	20.4881
b0240	402	179.059	745	93.1195
b4710	504	269.042	116.366	9.68018
b4709	276	82.631	50.2833	13.6195
b0241	1056	813.812	62	1.70509
b0242	1104	861.812	2180	56.6139
b0243	1254	1011.81	2365	52.3131
b0244	76	13.4615	29	48.2151
b0245	342	130.263	99	17.0096
b0246	318	112.026	28	5.59394
b4504	222	50.0407	6	2.68353
b0247	477	244.376	26.7688	2.4516
b0248	459	228.183	81	7.94475
b0249	240	60.2266	82	30.4723
b0250	468	236.318	304	28.7909
b0251	444	215	76	7.91143
b0252	822	580.004	43	1.65927
b0253	864	621.945	390	14.0343
b0254	894	651.945	141	4.84047
b4587	690	448.895	358.874	17.8927
b0256	1152	909.812	666.895	16.4053
b0258	1146	903.812	400	9.90515
b0259	981	738.812	796.838	24.1388
b0260	1404	1161.81	123	2.36946
b0261	933	690.812	250	8.09952
b0262	1047	804.812	47	1.30702
b0264	504	269.042	69.8855	5.8136
b0265	276	82.631	62.4942	16.9268
b0266	351	137.479	260	42.3269
b0267	1155	912.812	18	0.441337
b0268	909	666.812	29	0.973361
b0269	1968	1725.81	49	0.635451
b0270	1383	1140.81	37	0.725884
b0271	1611	1368.81	70	1.14455
b0272	759	517.278	369	15.9655
b0273	1005	762.812	2360.08	69.245
b4766	96	15.3654	0	0
b4688	129	16.5422	2.4971	3.37847
b0274	504	269.042	69.8855	5.8136
b0275	276	82.631	62.4942	16.9268
b0276	732	490.38	394	17.9822
b0277	627	386.936	218	12.6095
b0278	699	457.804	97	4.74211
b0279	855	612.945	29	1.0589
b4729	225	51.7081	14	6.05967
b0280	441	212.447	581	61.2077
b0281	1401	1158.81	1517	29.2989
b0282	411	186.531	121	14.5182
b0283	957	714.812	152	4.75917
b0284	2199	1956.81	403	4.6093
b0285	957	714.812	129	4.03903
b0286	690	448.895	181	9.02428
b0287	615	375.09	981	58.5347
b0288	330	121.19	76	14.0354
b0289	711	469.572	136	6.48211
b0290	1644	1401.81	267	4.26286
b0291	2526	2283.81	134	1.31318
b0292	669	428.159	13	0.679545
b0293	588	348.892	258	16.5504
b0294	591	351.751	19	1.20892
b0295	228	53.5766	28	11.6967
b4506	141	19.6278	3	3.42081
b0296	264	74.6636	29	8.69297
b4671	102	13.3298	0	0
b0298	300	98.9241	77.8	17.6018
b0299	867	624.945	135.6	4.85621
b0301	594	354.716	34	2.14525
b0303	237	58.5736	17	6.4957
b0304	1326	1083.81	314	6.48418
b0305	855	612.945	32	1.16844
b0306	720	478.525	25	1.16927
b0307	1428	1185.81	184	3.47281
b0308	696	454.895	67	3.29642
b0310	669	428.159	28	1.46363
b0311	1671	1428.81	586	9.17914
b0312	1473	1230.81	715	13.0015
b0313	588	348.892	402	25.7878
b0314	2034	1791.81	1288	16.088
b4730	75	14.7273	3	4.55909
b0315	1089	846.812	337	8.90681
b0316	933	690.812	241	7.80794
b0317	498	263.396	16	1.35954
b0318	606	366.426	112	6.84088
b0319	864	621.945	16	0.575768
b0320	1548	1305.81	26	0.445628
b0321	1419	1176.81	106	2.01594
b0322	321	114.096	440	86.3102
b0323	951	708.812	16	0.505206
b0324	1383	1140.81	243	4.76729
b0325	1050	807.812	3539	98.0504
b0326	816	574.004	11	0.428901
b0327	246	63.6604	19	6.6798
b0328	672	431.116	21	1.0902
b0329	276	82.631	4558	1234.56
b0330	1587	1344.81	299	4.9761
b0331	891	648.945	35	1.20709
b0333	1170	927.812	13	0.31359
b0334	1452	1209.81	33	0.610486
b0335	1887	1644.81	53	0.721172
b0336	1260	1017.81	2096	46.0896
b0337	1284	1041.81	2873	61.7199
b0338	900	657.945	214	7.27954
b0339	660	419.243	43	2.29552
b0340	471	238.999	36	3.37121
b0341	1155	912.812	43	1.05431
b0342	612	372.277	31	1.86369
b0343	1254	1011.81	27	0.597232
b0344	3075	2832.81	78	0.616249
b0345	1083	840.812	481	12.8034
b0346	834	592.004	323	12.2112
b0347	1665	1422.81	10	0.157301
b0348	945	702.812	21	0.668743
b0349	867	624.945	29	1.03857
b0350	810	568.004	13	0.512237
b0351	951	708.812	52	1.64192
b0352	1014	771.812	57	1.65288
b0353	1212	969.812	51	1.17696
b0354	540	302.845	419	30.9651
b0355	834	592.004	931	35.1969
b0356	1110	867.812	3254	83.9211
b0357	276	82.631	570	154.387
b0358	774	532.225	96	4.03697
b4579	699	457.804	12	0.586653
b0360	366	149.305	137.667	20.6364
b0361	906	663.812	228	7.68721
b0363	1197	954.812	92	2.1565
b4731	120	15.8356	0	0
b0364	558	319.803	0	0
b0365	963	720.812	64	1.98718
b0366	768	526.278	15	0.637904
b0367	828	586.004	32	1.22216
b0368	852	609.945	117	4.29314
b0369	975	732.812	1328	40.5588
b4580	2907	2664.81	462	3.88021
b4767	57	11.5	0	0
b0372	867	624.945	135.6	4.85621
b0373	300	98.9241	77.8	17.6018
b0375	624	384.013	36	2.09815
b0376	1158	915.812	404	9.87312
b0377	1221	978.812	425	9.71782
b0378	1095	852.812	667	17.5046
b0379	309	105.306	103	21.8908
b0380	213	44.9087	112	55.817
b0381	1095	852.812	1250	32.8047
b0382	261	72.4597	499	154.129
b0383	1416	1173.81	474	9.03772
b0384	321	114.096	556	109.065
b0385	1116	873.812	110	2.81744
b0386	810	568.004	791	31.1677
b0387	459	228.183	583	57.1826
b0388	525	288.592	3199	248.09
b0389	192	35.3382	3042	1926.61
b0390	678	437.072	1905	97.5487
b0391	285	88.4026	1765	446.847
b4732	84	13.7917	21	34.0786
b0393	912	669.812	879	29.3708
b0394	909	666.812	479	16.0772
b0396	1185	942.812	283	6.71801
b0397	3147	2904.81	738	5.68614
b0398	1203	960.812	437	10.1794
b0399	690	448.895	242	12.0656
b0400	1296	1053.81	303	6.43515
b0401	1320	1077.81	2340	48.5906
b0402	1374	1131.81	508	10.0454
b0403	1815	1572.81	344	4.89509
b0404	582	343.067	225	14.6786
b0405	1071	828.812	982	26.5176
b0406	1128	885.812	3915	98.9167
b0407	333	123.394	3753	680.715
b0408	1848	1605.81	8333	116.141
b0409	972	729.812	3731	114.418
b0410	348	134.995	479	79.4143
b0411	885	642.945	3782	131.652
b0412	540	302.845	200	14.7805
b0413	450	220.184	647	65.7655
b0414	1104	861.812	1305	33.8904
b0415	471	238.999	1355	126.888
b0416	420	194.013	2047	236.138
b0417	978	735.812	547	16.6379
b0418	519	283.143	1172	92.6407
b0419	975	732.812	2802	85.5766
b0420	1863	1620.81	3487	48.1503
b0421	900	657.945	1338	45.5141
b0422	243	61.8962	281	101.607
b0423	1449	1206.81	1844	34.198
b0424	591	351.751	438	27.8688
b0425	912	669.812	613	20.4827
b0426	492	258.008	2597	225.278
b0427	1365	1122.81	441	8.79044
b0428	891	648.945	7578	261.352
b0429	330	121.19	2247	414.969
b0430	615	375.09	3500	208.839
b0431	1992	1749.81	19906	254.608
b0432	948	705.812	18547	588.117
b0433	1476	1233.81	997	18.0853
b0434	579	340.17	1288	84.7421
b0435	318	112.026	7035	1405.48
b0436	1299	1056.81	29366	621.908
b0437	624	384.013	6001	349.749
b0438	1275	1032.81	13664	296.098
b0439	2355	2112.81	8760	92.7946
b0440	273	80.5533	6118	1699.83
b0441	1872	1629.81	6110	83.9041
b0442	372	153.919	82	11.9235
b0443	399	176.539	328	41.5828
b0444	696	454.895	461	22.6813
b0445	1701	1458.81	152	2.33197
b0446	819	577.004	289	11.2098
b0447	459	228.183	187	18.3416
b0448	1773	1530.81	444	6.49143
b0449	1782	1539.81	472	6.86047
b0450	339	127.863	18	3.15071
b0451	1287	1044.81	197	4.21995
b0452	861	618.945	688	24.878
b0453	573	334.306	8601	575.817
b0454	390	168.623	223	29.5983
b0456	354	139.783	217	34.7444
b0457	1551	1308.81	578	9.88394
b0458	471	238.999	281	26.3141
b0459	552	314.252	1011	72.0034
b0460	219	48.3068	2962	1372.32
b0461	375	156.369	3912	559.921
b0462	3150	2907.81	16728	128.753
b0463	1194	951.812	9120	214.448
b0464	648	407.575	1279	70.2333
b0465	3363	3120.81	2479	17.7782
b0466	162	24.7098	95	86.0465
b0467	528	291.474	238	18.2749
b0468	378	158.934	601	84.6324
b0469	552	314.252	1443	102.77
b0470	1932	1689.81	3016	39.9459
b0470_1	1296	1053.81	3.40884e-07	7.23973e-09
b0471	330	121.19	1137	209.977
b0472	606	366.426	1356	82.8235
b0473	1875	1632.81	2372	32.5131
b0474	645	404.696	8119	449.006
b0475	963	720.812	472	14.6555
b0476	960	717.812	107	3.3362
b0477	1305	1062.81	1049	22.0901
b0478	1677	1434.81	2892	45.111
b0479	1221	978.812	171	3.90999
b0480	1653	1410.81	1469	23.3041
b0481	480	247.149	349	31.6043
b0482	795	553.117	622	25.1683
b0483	342	130.263	1030	176.969
b0484	2505	2262.81	8512.95	84.1998
b0484_1	213	44.9087	1441.05	718.17
b0485	933	690.812	2419	78.371
b0486	1293	1050.81	1330	28.3273
b0487	408	184.046	616	74.9089
b0488	459	228.183	226	22.1668
b0489	918	675.812	754	24.9704
b0490	678	437.072	277	14.1842
b0491	780	538.225	199	8.27501
b0492	855	612.945	1735	63.3516
b0493	810	568.004	770	30.3402
