CTRL1	CTRL2	CTRL3	CIP1	CIP2	CIP3	ID	TYPE	NAME	???	DESCRIPTION
18582	10757	7277	8183	7487	8596	PA0001	CDS	dnaA		chromosome replication initiator DnaA
21138	10598	7763	7655	6607	8495	PA0002	CDS	dnaN	2.7.7.7	DNA polymerase III subunit beta
11288	6479	6115	5075	4505	4665	PA0003	CDS	recF		DNA replication and repair protein RecF
55353	29201	16118	13075	13118	14578	PA0004	CDS	gyrB		DNA gyrase subunit B
4402	2393	2700	1110	1192	1700	PA0005	CDS	lptA		lysophosphatidic acid acyltransferase
2571	1357	1638	714	736	1086	PA0006	CDS			D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
8239	4208	2567	3148	2810	4442	PA0007	CDS			hypothetical protein
11333	5668	2495	1902	1685	2847	PA0008	CDS	glyS	6.1.1.14	glycine--tRNA ligase subunit beta
5972	2792	1353	708	650	1283	PA0009	CDS	glyQ	6.1.1.14	glycine--tRNA ligase subunit alpha
583	338	233	168	167	224	PA0010	CDS	tag		DNA-3-methyladenine glycosidase I
6655	3330	4871	1851	2036	2986	PA0011	CDS			lipid A biosynthesis lauroyl acyltransferase
1064	491	939	573	615	592	PA0012	CDS			hypothetical protein
709	448	324	366	304	496	PA0013	CDS			hypothetical protein
425	191	293	498	370	395	PA0014	CDS			hypothetical protein
1195	617	401	823	696	856	PA0015	CDS			hypothetical protein
3827	2245	1315	1521	1399	1709	PA0016	CDS	trkA		potassium transporter inner membrane associated protein
3022	1773	787	744	941	760	PA0017	CDS			Ribosomal RNA small subunit methyltransferase B
2658	1343	606	656	600	645	PA0018	CDS	fmt	2.1.2.9	methionyl-tRNA formyltransferase
11864	5605	6496	5607	4620	6157	PA0019	CDS	def	3.5.1.88	peptide deformylase
10382	5643	5142	2230	2361	4964	PA0020	CDS			hypothetical protein
278	178	131	173	152	162	PA0021	CDS			hypothetical protein
1669	890	950	866	776	1294	PA0022	CDS			threonylcarbamoyl-AMP synthase
1289	982	487	1106	920	1122	PA0023	CDS	qor		oxygen-dependent quinone oxidoreductase
1772	1024	709	428	456	741	PA0024	CDS	hemF	1.3.3.3	coproporphyrinogen III oxidase
976	661	377	348	374	662	PA0025	CDS	aroE	1.1.1.25	shikimate dehydrogenase
2120	1065	829	692	690	877	PA0026	CDS	plcB		phospholipase C
767	548	291	590	527	411	PA0027	CDS			hypothetical protein
318	199	133	176	195	196	PA0028	CDS			hypothetical protein
294	159	74	260	225	244	PA0029	CDS			sulfate transporter
194	114	46	142	123	129	PA0030	CDS			hypothetical protein
537	338	199	355	357	365	PA0031	CDS	betC		choline sulfatase
531	358	304	446	389	409	PA0032	CDS			transcriptional regulator
507	387	239	456	546	386	PA0032a	CDS			DOPA 4,5-dioxygenase
286	229	111	183	161	169	PA0033	CDS			hypothetical protein
524	354	245	174	162	223	PA0034	CDS			two-component response regulator
1858	1019	378	517	491	553	PA0035	CDS	trpA	4.2.1.20	tryptophan synthase subunit alpha
2935	1569	928	715	806	1063	PA0036	CDS	trpB	4.2.1.20	tryptophan synthase subunit beta
623	340	209	355	349	410	PA0037	CDS	trpI		HTH-type transcriptional regulator TrpI
8567	4013	4825	17335	12953	14935	PA0038	CDS			hypothetical protein
52444	24755	25390	65689	51740	68540	PA0039	CDS			hypothetical protein
3496.56	2214.12	1356.12	990.025	977.257	1369.26	PA0040	CDS			hypothetical protein
15250	7846.32	4352.76	6739.32	6245.34	8236.99	PA0041	CDS			hemagglutinin
1715	931	1149	643	596	1004	PA0041a	CDS			transposase
795	408	482	518	458	692	PA0042	CDS			hypothetical protein
1330	708	440	428	482	572	PA0043	CDS			hypothetical protein
2290	1302	596	1005	1067	759	PA0044	CDS	exoT		exoenzyme T
2476	1373	548	216	189	501	PA0045	CDS			hypothetical protein
1360	719	272	180	124	323	PA0046	CDS			hypothetical protein
1235	683	183	440	357	496	PA0047	CDS			hypothetical protein
547	297	126	511	320	496	PA0048	CDS			transcriptional regulator
794	370	178	1559	1124	2103	PA0049	CDS			hypothetical protein
3464	1671	1724	2006	1677	3121	PA0050	CDS			hypothetical protein
691	420	338	527	414	430	PA0051	CDS	phzH		phenazine-modifying protein
222	140	86	242	213	181	PA0052	CDS			hypothetical protein
392	218	150	101	109	150	PA0054	CDS			RNA 2'-phosphotransferase-like protein
1168	632	696	492	467	830	PA0055	CDS			hypothetical protein
172	84	40	70	71	78	PA0056	CDS			transcriptional regulator
315	172	78	105	71	111	PA0057	CDS			hypothetical protein
213	114	53	97	72	106	PA0058	CDS			hypothetical protein
3043	1172	1097	9021	5944	6761	PA0059	CDS	osmC		osmotically inducible protein OsmC
731	364	393	879	688	953	PA0060	CDS			hypothetical protein
850	531	311	932	832	821	PA0061	CDS			hypothetical protein
383	222	126	394	270	500	PA0062	CDS			hypothetical protein
1718	1066	688	730	817	771	PA0063	CDS			hypothetical protein
1058	633	350	507	450	648	PA0064	CDS			hypothetical protein
811	484	278	275	218	409	PA0065	CDS			5'-nucleotidase
