ID	TYPE	NAME	???	DESCRIPTION
PA0001	CDS	dnaA		chromosome replication initiator DnaA
PA0002	CDS	dnaN	2.7.7.7	DNA polymerase III subunit beta
PA0003	CDS	recF		DNA replication and repair protein RecF
PA0004	CDS	gyrB		DNA gyrase subunit B
PA0005	CDS	lptA		lysophosphatidic acid acyltransferase
PA0006	CDS			D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
PA0007	CDS			hypothetical protein
PA0008	CDS	glyS	6.1.1.14	glycine--tRNA ligase subunit beta
PA0009	CDS	glyQ	6.1.1.14	glycine--tRNA ligase subunit alpha
PA0010	CDS	tag		DNA-3-methyladenine glycosidase I
PA0011	CDS			lipid A biosynthesis lauroyl acyltransferase
PA0012	CDS			hypothetical protein
PA0013	CDS			hypothetical protein
PA0014	CDS			hypothetical protein
PA0015	CDS			hypothetical protein
PA0016	CDS	trkA		potassium transporter inner membrane associated protein
PA0017	CDS			Ribosomal RNA small subunit methyltransferase B
PA0018	CDS	fmt	2.1.2.9	methionyl-tRNA formyltransferase
PA0019	CDS	def	3.5.1.88	peptide deformylase
PA0020	CDS			hypothetical protein
PA0021	CDS			hypothetical protein
PA0022	CDS			threonylcarbamoyl-AMP synthase
PA0023	CDS	qor		oxygen-dependent quinone oxidoreductase
PA0024	CDS	hemF	1.3.3.3	coproporphyrinogen III oxidase
PA0025	CDS	aroE	1.1.1.25	shikimate dehydrogenase
PA0026	CDS	plcB		phospholipase C
PA0027	CDS			hypothetical protein
PA0028	CDS			hypothetical protein
PA0029	CDS			sulfate transporter
PA0030	CDS			hypothetical protein
PA0031	CDS	betC		choline sulfatase
PA0032	CDS			transcriptional regulator
PA0032a	CDS			DOPA 4,5-dioxygenase
PA0033	CDS			hypothetical protein
PA0034	CDS			two-component response regulator
PA0035	CDS	trpA	4.2.1.20	tryptophan synthase subunit alpha
PA0036	CDS	trpB	4.2.1.20	tryptophan synthase subunit beta
PA0037	CDS	trpI		HTH-type transcriptional regulator TrpI
PA0038	CDS			hypothetical protein
PA0039	CDS			hypothetical protein
PA0040	CDS			hypothetical protein
PA0041	CDS			hemagglutinin
PA0041a	CDS			transposase
PA0042	CDS			hypothetical protein
PA0043	CDS			hypothetical protein
PA0044	CDS	exoT		exoenzyme T
PA0045	CDS			hypothetical protein
PA0046	CDS			hypothetical protein
PA0047	CDS			hypothetical protein
PA0048	CDS			transcriptional regulator
PA0049	CDS			hypothetical protein
PA0050	CDS			hypothetical protein
PA0051	CDS	phzH		phenazine-modifying protein
PA0052	CDS			hypothetical protein
PA0054	CDS			RNA 2'-phosphotransferase-like protein
PA0055	CDS			hypothetical protein
PA0056	CDS			transcriptional regulator
PA0057	CDS			hypothetical protein
PA0058	CDS			hypothetical protein
PA0059	CDS	osmC		osmotically inducible protein OsmC
PA0060	CDS			hypothetical protein
PA0061	CDS			hypothetical protein
PA0062	CDS			hypothetical protein
PA0063	CDS			hypothetical protein
PA0064	CDS			hypothetical protein
PA0065	CDS			5'-nucleotidase
