id	type	gene	version	description
PaeAG1_00001	CDS	dnaA		chromosome replication initiator DnaA
PaeAG1_00002	CDS	dnaN	2.7.7.7	DNA polymerase III subunit beta
PaeAG1_00003	CDS	recF_1		DNA replication and repair protein RecF
PaeAG1_00004	CDS	gyrB		DNA gyrase subunit B
PaeAG1_00005	CDS	lptA_1		lysophosphatidic acid acyltransferase
PaeAG1_00006	CDS			D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
PaeAG1_00007	CDS			hypothetical protein
PaeAG1_00008	CDS	glyS	6.1.1.14	glycine--tRNA ligase subunit beta
PaeAG1_00009	CDS	glyQ	6.1.1.14	glycine--tRNA ligase subunit alpha
PaeAG1_00010	CDS	tag		DNA-3-methyladenine glycosidase I
PaeAG1_00011	CDS			lipid A biosynthesis lauroyl acyltransferase
PaeAG1_00012	CDS			hypothetical protein
PaeAG1_00013	CDS	yhhQ		Queuosine precursor transporter
PaeAG1_00014	CDS			hypothetical protein
PaeAG1_00015	CDS			hypothetical protein
PaeAG1_00016	CDS	trkA		potassium transporter inner membrane associated protein
PaeAG1_00017	CDS			Ribosomal RNA small subunit methyltransferase B
PaeAG1_00018	CDS	fmt	2.1.2.9	methionyl-tRNA formyltransferase
PaeAG1_00019	CDS	def_1	3.5.1.88	peptide deformylase
PaeAG1_00020	CDS			hypothetical protein
PaeAG1_00021	CDS			hypothetical protein
PaeAG1_00022	CDS			threonylcarbamoyl-AMP synthase
PaeAG1_00023	CDS	qor		oxygen-dependent quinone oxidoreductase
PaeAG1_00024	CDS	hemF	1.3.3.3	coproporphyrinogen III oxidase
PaeAG1_00025	CDS	aroE	1.1.1.25	shikimate dehydrogenase
PaeAG1_00026	CDS	plcB		phospholipase C
PaeAG1_00027	CDS	prsA	5.2.1.8	Foldase protein PrsA
PaeAG1_00028	CDS			hypothetical protein
PaeAG1_00029	CDS			sulfate transporter
PaeAG1_00030	CDS			glycine betaine-binding protein
PaeAG1_00031	CDS	betC		choline sulfatase
PaeAG1_00032	CDS			transcriptional regulator
PaeAG1_00033	CDS			DOPA 4,5-dioxygenase
PaeAG1_00034	CDS			hypothetical protein
PaeAG1_00035	CDS			two-component response regulator
PaeAG1_00036	CDS	trpA	4.2.1.20	tryptophan synthase subunit alpha
PaeAG1_00037	CDS	trpB	4.2.1.20	tryptophan synthase subunit beta
PaeAG1_00038	CDS	trpI		HTH-type transcriptional regulator TrpI
PaeAG1_00039	CDS			Dodecin
PaeAG1_00040	CDS			hypothetical protein
PaeAG1_00041	CDS			hypothetical protein
PaeAG1_00042	CDS			hemagglutinin
PaeAG1_00043	CDS			transposase
PaeAG1_00044	CDS			hemagglutinin
PaeAG1_00045	CDS			hypothetical protein
PaeAG1_00046	CDS			hypothetical protein
PaeAG1_00047	CDS			hypothetical protein
PaeAG1_00048	CDS			transposase
PaeAG1_00049	CDS			transposase
PaeAG1_00050	CDS			hypothetical protein
PaeAG1_00051	CDS			hemagglutinin
PaeAG1_00052	CDS			transposase
PaeAG1_00053	CDS			hypothetical protein
PaeAG1_00054	CDS			hypothetical protein
PaeAG1_00055	CDS			hypothetical protein
PaeAG1_00056	CDS	exoT		exoenzyme T
PaeAG1_00057	CDS			Putative lipoprotein/NMB1164
PaeAG1_00058	CDS			hypothetical protein
PaeAG1_00059	CDS			Putative lipoprotein/NMB1162
PaeAG1_00060	CDS			transcriptional regulator
PaeAG1_00061	CDS			hypothetical protein
PaeAG1_00062	CDS			hypothetical protein
PaeAG1_00063	CDS			hypothetical protein
PaeAG1_00064	CDS	phzH		phenazine-modifying protein
PaeAG1_00065	CDS			hypothetical protein
PaeAG1_00066	CDS			RNA 2'-phosphotransferase-like protein
PaeAG1_00067	CDS			hypothetical protein
PaeAG1_00068	CDS			transcriptional regulator
PaeAG1_00069	CDS			hypothetical protein
PaeAG1_00070	CDS			hypothetical protein
PaeAG1_00071	CDS	osmC		osmotically inducible protein OsmC
PaeAG1_00072	CDS			hypothetical protein
PaeAG1_00073	CDS			hypothetical protein
PaeAG1_00074	CDS			hypothetical protein
PaeAG1_00075	CDS			hypothetical protein
PaeAG1_00076	CDS			hypothetical protein
PaeAG1_00077	CDS			5'-nucleotidase
PaeAG1_00078	CDS	yrdA_1		Protein YrdA
PaeAG1_00079	CDS	prlC		oligopeptidase A
PaeAG1_00080	CDS			hypothetical protein
PaeAG1_00081	CDS			hypothetical protein
PaeAG1_00082	CDS			hypothetical protein
PaeAG1_00083	CDS			hypothetical protein
PaeAG1_00084	CDS			hypothetical protein
PaeAG1_00085	CDS			ABC transporter ATP-binding protein
PaeAG1_00086	CDS	ppkA		serine/threonine protein kinase PpkA
PaeAG1_00087	CDS	pppA		serine/threonine phosphatase
PaeAG1_00088	CDS			hypothetical protein
PaeAG1_00089	CDS	icmF1_1		type VI secretion protein IcmF
PaeAG1_00090	CDS			hypothetical protein
PaeAG1_00091	CDS			hypothetical protein
PaeAG1_00092	CDS			hypothetical protein
PaeAG1_00093	CDS	fha1		Fha domain-containing protein
PaeAG1_00094	CDS			hypothetical protein
PaeAG1_00095	CDS			hypothetical protein
PaeAG1_00096	CDS			uricase
PaeAG1_00097	CDS	hcp1_1		protein secretion apparatus assembly protein
PaeAG1_00098	CDS			hypothetical protein
PaeAG1_00099	CDS			hypothetical protein
PaeAG1_00100	CDS			hypothetical protein
PaeAG1_00101	CDS			hypothetical protein
PaeAG1_00102	CDS	clpV1		secretion protein ClpV1
PaeAG1_00103	CDS	vgrG1_1		type VI secretion system protein VgrG
PaeAG1_00104	CDS			hypothetical protein
PaeAG1_00105	CDS			hypothetical protein
PaeAG1_00106	CDS			hypothetical protein
PaeAG1_00107	CDS			hypothetical protein
PaeAG1_00108	CDS			hypothetical protein
PaeAG1_00109	CDS			hypothetical protein
PaeAG1_00110	CDS		2.3.1.41	3-oxoacyl-ACP synthase
PaeAG1_00111	CDS			hypothetical protein
PaeAG1_00112	CDS			hypothetical protein
PaeAG1_00113	CDS			hypothetical protein
PaeAG1_00114	CDS			carbonic anhydrase
PaeAG1_00115	CDS			sulfate transporter
PaeAG1_00116	CDS			hypothetical protein
PaeAG1_00117	CDS	coxB		cytochrome C oxidase subunit II
PaeAG1_00118	CDS	coxA		cytochrome C oxidase subunit I
PaeAG1_00119	CDS			cytochrome C oxidase assembly protein
PaeAG1_00120	CDS	coIII		cytochrome C oxidase subunit III
PaeAG1_00121	CDS			hypothetical protein
PaeAG1_00122	CDS			hypothetical protein
